"","GENUS_SPECIES"
"4373","Sardinella gibbosa"
"4374","Zebrias craticulus"
"4375","Ichthyscopus insperatus"
"4376","Dinolestes lewini"
"4377","Epinephelus stictus"
"4378","Sillago burrus"
"4379","Nemipterus isacanthus"
"4380","Ariomma luridum"
"4381","Caranx tille"
"4382","Elagatis bipinnulata"
"4383","Sirembo imberbis"
"4384","Cociella hutchinsi"
"4385","Irolita waitii"
"4386","Glossanodon australis"
"4387","Triodon macropterus"
"4388","Epinephelus latifasciatus"
"4389","Heterocarpus woodmasoni"
"4390","Howella brodiei"
"4391","Lucigadus nigromaculatus"
"4392","Paristiopterus gallipavo"
"4393","Trygonorrhina fasciata"
"4394","Galeus boardmani"
"4395","Setipinna paxtoni"
"4396","Zebrias quagga"
"4397","Cubiceps baxteri"
"4398","Pleuroscopus pseudodorsalis"
"4399","Aldrovandia affinis"
"4400","Gymnothorax prasinus"
"4401","Sillago ingenuua"
"4402","Ilisha lunula"
"4403","Dactylophora nigricans"
"4404","Neosebastes bougainvillii"
"4405","Upeneichthys lineatus"
"4406","Arnoglossus waitei"
"4407","Pseudanthias fasciata"
"4408","Parapercis gushikeni"
"4409","Parascolopsis eriomma"
"4410","Apogon albimaculosus"
"4411","Plotosus lineatus"
"4412","Nebrius ferrugineus"
"4413","Etmopterus lucifer"
"4414","Chlorophthalmus agassizi"
"4415","Dipturus sp1"
"4416","Foetorepus phasis"
"4417","Hydrolagus lemures"
"4418","Malakichthys elegans"
"4419","Okamejei sp16"
"4420","Narcine lasti"
"4421","Ibacus peronii"
"4422","Bembrops philippinus"
"4423","Cheilopogon spilopterus"
"4424","Variola albimarginata"
"4425","Engyprosopon osculus"
"4426","Ostichthys kaianus"
"4427","Urolophus mitosis"
"4428","Hoplichthys haswelli"
"4429","Tripterophycis gilchristi"
"4430","Inimicus didactylus"
"4431","Paraplagusia longirostris"
"4432","Acanthurus dussumieri"
"4433","Sphyraena jello"
"4434","Amphiprion clarkii"
"4435","Plectranthias japonicus"
"4436","Notopogon lilliei"
"4437","Callanthias allporti"
"4438","Himantolophus appelii"
"4439","Omegophora armilla"
"4440","Etrumeus teres"
"4441","Anodontostoma chacunda"
"4442","Leiognathus decorus"
"4443","Polydactylus multiradiatus"
"4444","Galeorhinus galeus"
"4445","Caranx kleinii"
"4446","Pantolabus radiatus"
"4447","Thryssa setirostris"
"4448","Centrophorus moluccensis"
"4449","Sillago sihama"
"4450","Dipturus lemprieri"
"4451","Kathetostoma nigrofasciatum"
"4452","Chromis chrysura"
"4453","Bleekeria viridianguilla"
"4454","Brachirus muelleri"
"4455","Cyclichthys hardenbergi"
"4456","Lepidotrigla modesta"
"4457","Diaphus coeruleus"
"4458","Pristiophorus nudipinnis"
"4459","Neoepinnula orientalis"
"4460","Carcharhinus altimus"
"4461","Hemitriakis falcata"
"4462","Irolita sp1"
"4463","Lophonectes gallus"
"4464","Pseudophycis barbata"
"4465","Harriotta raleighana"
"4466","Pachyptila turtur"
"4467","Thalassarche cauta"
"4468","Thalassoica antarctica"
"4469","Daption capense"
"4470","Macronectes giganteus"
"4471","Catharacta lonnbergi"
"4472","Lobodon carcinophaga"
"4473","Diomedea exulans"
"4474","Thalassarche melanophrys"
"4475","Procellaria aequinoctialis"
"4476","Diomedea epomophora"
"4477","Pterodroma lessonii"
"4478","Pterodroma leucoptera"
"4479","Pachyptila desolata"
"4480","Pterodroma inexpectata"
"4481","Oceanites oceanicus"
"4482","Lugensa brevirostris"
"4483","Thalassarche chrysostoma"
"4484","Phoebetria palpebrata"
"4485","Macronectes halli"
"4486","Physeter macrocephalus"
"4487","Balaenoptera borealis"
"4488","Pterodroma macroptera"
"4489","Pterodroma incerta"
"4490","Morus serrator"
"4491","Eudyptula cornutus"
"4492","Catharacta maccormicki"
"4493","Puffinus sp9"
"4494","Pachyptila salvini"
"4495","Halobaena caerulea"
"4496","Pachyptila belcheri"
"4497","Arctocephalus gazella"
"4498","Pterodroma mollis"
"4499","Ommatophoca rossii"
"4500","Leptonychotes weddellii"
"4501","Fregetta grallaria"
"4502","Thalassarche carteri"
"4503","Diomedea royal"
"4504","Pachyptila vittata"
"4505","Procellaria cinerea"
"4506","Puffinus gavia"
"4507","Thalassarche bulleri"
"4508","Diomedea sanfordi"
"4509","Phoebetria fusca"
"4510","Pachyptila eatoni"
"4511","Puffinus pacificus"
"4512","Mirounga leonina"
"4513","Pelagodroma marina"
"4514","Puffinus assimilis"
"4515","Pygoscelis papua"
"4516","Thalassarche steadi"
"4517","Aptenodytes patagonicus"
"4518","Stercorarius longicaudus"
"4519","Pachyptila crassirostris"
"4520","Phalacrocorax fuscescens"
"4521","Thalassarche salvini"
"4522","Procellaria parkinsoni"
"4523","Hydrurga leptonyx"
"4524","Pterodroma baraui"
"4525","Egretta garzetta"
"4526","Procellaria westlandica"
"4527","Hyperoodon planifrons"
"4528","Pterodroma cookii"
"4529","Lagenorhynchus cruciger"
"4530","Phalacrocorax atriceps"
"4531","Berardius arnuxii"
"4532","Balaenoptera physalus"
"4533","Puffinus carneipes"
"4534","Pterodroma cookilaria"
"4535","Lagenorhynchus obliquidens"
"4536","Lissodelphis peronii"
"4537","Puffinus gravis"
"4538","Eubalaena australis"
"4539","Pygoscelis antarctica"
"4540","Sula bedouti"
"4541","Balaenoptera musculus"
"4542","Gygis candida"
"4543","Arctocephalus pusillus"
"4544","Thalassarche eremita"
"4545","Sula leucogaster"
"4546","Lagenorhynchus obscurus"
"4547","Cephalorhynchus commersonii"
"4548","Larus pacificus"
"4549","Larus novaehollandiae"
"4550","Pterodroma sp9"
"4551","Pterodroma solandri"
"4552","Atylus vedlomensis"
"4553","Chamelea gallina"
"4554","Dodecaceria concharum"
"4555","Maera othonis"
"4556","Nephtys hystricis"
"4557","Phoronis "
"4558","Podarke pallida"
"4559","Photis "
"4560","Sipuncula "
"4561","Apherusa "
"4562","Cardiidae "
"4563","Caulleriella zetlandica"
"4564","Cheirocratus sundevallii"
"4565","Diastylis rugosa"
"4566","Euclymeninae "
"4567","Fabulina fabula"
"4568","Hiatellacea "
"4569","Iphinoe "
"4570","Lumbrineris gracilis"
"4571","Lutraria "
"4572","Oedicerotidae "
"4573","Pelecypoda "
"4574","Polycirrus "
"4575","Prionospio fallax"
"4576","Pycnogonida "
"4577","Serpulidae "
"4578","Sphaerosyllis "
"4579","Sthenelais "
"4580","Tanaidacea "
"4581","Tellinidae "
"4582","Ascidiacea "
"4583","Exogone "
"4584","Notomastus "
"4585","Eulalia "
"4586","Holothuria "
"4587","Leptopentacta elongata"
"4588","Paradoneis lyra"
"4589","Syllis "
"4590","Polyplacophora "
"4591","Polycarpa "
"4592","Alcyonium digitatum"
"4593","Corallinaceae "
"4594","Fucus serratus"
"4595","Laminaria hyperborea"
"4596","Pentapora fascialis"
"4597","Porifera "
"4598","Cliona celata"
"4599","Pachymatisma johnstoni"
"4600","Ascidia mentula"
"4601","Cellepora pumicosa"
"4602","Ciocalypta penicillus"
"4603","Crisiidae "
"4604","Dercitus bucklandi"
"4605","Laminaria digitata"
"4606","Laminaria saccharina"
"4607","Stelletta grubii"
"4608","Tectura virginea"
"4609","Thorogobius ephippiatus"
"4610","Thymosia guernei"
"4611","Trisopterus "
"4612","Henricia "
"4613","Labrus bergylta"
"4614","Alaria esculenta"
"4615","Palinurus elephas"
"4616","Pomatoceros "
"4617","Dictyopteris membranacea"
"4618","Patella "
"4619","Polyclinum aurantium"
"4620","Catriona gymnota"
"4621","Coryphella lineata"
"4622","Facelina auriculata"
"4623","Flabellina pedata"
"4624","Limacia clavigera"
"4625","Aeolidiella glauca"
"4626","Cliona "
"4627","Gobiusculus flavescens"
"4628","Hero formosa"
"4629","Inachus dorsettensis"
"4630","Leptasterias muelleri"
"4631","Macropodia rostrata"
"4632","Munida rugosa"
"4633","Myxicola infundibulum"
"4634","Necora puber"
"4635","Pagurus prideaux"
"4636","Pomatoceros triqueter"
"4637","Protula tubularia"
"4638","Securiflustra securifrons"
"4639","Suberites carnosus"
"4640","Antedon bifida"
"4641","Antedon petasus"
"4642","Protanthea simplex"
"4643","Labrus mixtus"
"4644","Alcyonium glomeratum"
"4645","Balanus perforatus"
"4646","Desmarestia viridis"
"4647","Eubranchus tricolor"
"4648","Luidia ciliaris"
"4649","Megalomma vesiculosum"
"4650","Mycale "
"4651","Nemertesia ramosa"
"4652","Neocrania anomala"
"4653","Omalosecosa ramulosa"
"4654","Ophiocomina nigra"
"4655","Rhodophycota "
"4656","Sagartia elegans"
"4657","Trailliella intricata"
"4658","Anomia ephippium"
"4659","Axinella infundibuliformis"
"4660","Botryllus schlosseri"
"4661","Crenilabrus melops"
"4662","Doridoidea "
"4663","Hemimycale columella"
"4664","Leptometra celtica"
"4665","Lithothamnion glaciale"
"4666","Membranipora membranacea"
"4667","Nemertesia antennina"
"4668","Suberites ficus"
"4669","Swiftia pallida"
"4670","Terebratulina retusa"
"4671","Aslia lefevrei"
"4672","Chlamys distorta"
"4673","Clavelina lepadiformis"
"4674","Lineus longissimus"
"4675","Serpula vermicularis"
"4676","Chromophyta "
"4677","Limaria hians"
"4678","Sagartiogeton undatus"
"4679","Gadidae "
"4680","Calliostoma zizyphinum"
"4681","Chlamys "
"4682","Diphasia "
"4683","Halichondria bowerbanki"
"4684","Sertularella polyzonias"
"4685","Caprellidae "
"4686","Pollachius pollachius"
"4687","Hydractinia echinata"
"4688","Pomatoschistus minutus"
"4689","Syngnathus "
"4690","Coryphella "
"4691","Maxmuelleria lankesteri"
"4692","Lesueurigobius friesii"
"4693","Ascidia conchilega"
"4694","Caridea "
"4695","Compsothamnion thuyoides"
"4696","Delesseria sanguinea"
"4697","Galathea nexa"
"4698","Hymedesmia paupertas"
"4699","Membranoptera alata"
"4700","Parasmittina trispinosa"
"4701","Phycodrys rubens"
"4702","Polymastia mammillaris"
"4703","Porania pulvillus"
"4704","Ptilota gunneri"
"4705","Ptilothamnion pluma"
"4706","Tectura testudinalis"
"4707","Acrosorium reptans"
"4708","Aglaozonia cutleria"
"4709","Amphiura securigera"
"4710","Enchytraeidae "
"4711","Heterochaeta costata"
"4712","Streblospio shrubsolii"
"4713","Tubificoides benedii"
"4714","Tubificoides pseudogaster"
"4715","Melinna palmata"
"4716","Cerastoderma edule"
"4717","Anurida maritima"
"4718","Caloplaca marina"
"4719","Caloplaca thallincola"
"4720","Chlorophycota "
"4721","Chthamalus montagui"
"4722","Chthamalus stellatus"
"4723","Corallina "
"4724","Elachista fucicola"
"4725","Elminius modestus"
"4726","Enteromorpha "
"4727","Flustrellidra hispida"
"4728","Fucus "
"4729","Fucus vesiculosus"
"4730","Gelidium latifolium"
"4731","Gelidium pusillum"
"4732","Gibbula umbilicalis"
"4733","Grey lichens"
"4734","Hildenbrandia "
"4735","Hymeniacidon perleve"
"4736","Lichens "
"4737","Lichina confinis"
"4738","Lichina pygmaea"
"4739","Ligia oceanica"
"4740","Littorina neglecta"
"4741","Lomentaria articulata"
"4742","Mastocarpus stellatus"
"4743","Melarhaphe neritoides"
"4744","Palmaria palmata"
"4745","Pelvetia canaliculata"
"4746","Plocamium cartilagineum"
"4747","Polysiphonia "
"4748","Porphyra "
"4749","Ramalina "
"4750","Tephromela atra"
"4751","Verrucaria maura"
"4752","Verrucaria mucosa"
"4753","Ulva "
"4754","Anthophyta "
"4755","Fucus spiralis"
"4756","Haemescharia hennedyi"
"4757","Halurus flosculosus"
"4758","Nucella lapillus"
"4759","Xanthoria parietina"
"4760","Armeria maritima"
"4761","Audouinella "
"4762","Catenella caespitosa"
"4763","Ceramium nodulosum"
"4764","Ceramium strictum"
"4765","Chondrus crispus"
"4766","Cladophora rupestris"
"4767","Cyanophyta "
"4768","Littorina obtusata/mariae"
"4769","Ochrolechia parella"
"4770","Polysiphonia insidiosa"
"4771","Porcellana platycheles"
"4772","Porphyra umbilicalis"
"4773","Ralfsia "
"4774","Rissoa "
"4775","Spirorbidae "
"4776","Vaucheriaceae "
"4777","Gammarus locusta"
"4778","Haliplanella lineata"
"4779","Ligia "
"4780","Ampharete grubei"
"4781","Anaitides maculata"
"4782","Capitella "
"4783","Ophryotrocha hartmanni"
"4784","Tubificoides swirencoides"
"4785","Arthropyrenia halodytes"
"4786","Barnea "
"4787","Bugula turbinata"
"4788","Ceramium gaditanum"
"4789","Cladophora pellucida"
"4790","Cryptopleura ramosa"
"4791","Cryptosula pallasiana"
"4792","Diatoms colonial"
"4793","Diatoms film"
"4794","Dilsea carnosa"
"4795","Esperiopsis fucorum"
"4796","Filograna implexa"
"4797","Haliclona "
"4798","Halurus equisetifolius"
"4799","Helcion pellucidum"
"4800","Heterosiphonia plumosa"
"4801","Hypoglossum hypoglossoides"
"4802","Idotea "
"4803","Lacuna vincta"
"4804","Laminaria "
"4805","Lepidochitona cinerea"
"4806","Littorina mariae"
"4807","Microciona atrasanguinea"
"4808","Patella vulgata"
"4809","Phaeostachys spinifera"
"4810","Pholas dactylus"
"4811","Phyllophora pseudoceranoides"
"4812","Plumaria plumosa"
"4813","Pomatoceros lamarcki"
"4814","Porphyra purpurea"
"4815","Rhodomela confervoides"
"4816","Rhodothamniella floridula"
"4817","Sabellaria spinulosa"
"4818","Tridentata distans"
"4819","Ceramium "
"4820","Cladophora "
"4821","Aglaothamnion hookeri"
"4822","Capitellidae "
"4823","Eurydice pulchra"
"4824","Ophelia rathkei"
"4825","Psammodrilus balanoglossoides"
"4826","Talitrus saltator"
"4827","Angulus tenuis"
"4828","Cereus pedunculatus"
"4829","Annelida "
"4830","Amphitrite "
"4831","Bugula "
"4832","Galathea squamifera"
"4833","Griffithsia corallinoides"
"4834","Halecium halecinum"
"4835","Halidrys siliquosa"
"4836","Inachus phalangium"
"4837","Kirchenpaueria pinnata"
"4838","Lineus "
"4839","Polyclinidae "
"4840","Protodrilus "
"4841","Nucula "
"4842","Protodriloides chaetifer"
"4843","Tubificidae "
"4844","Microphthalmus "
"4845","Spio "
"4846","Ceramium botryocarpum"
"4847","Cystoclonium purpureum"
"4848","Ophlitaspongia seriata"
"4849","Osilinus lineatus"
"4850","Patella ulyssiponensis"
"4851","Pododesmus patelliformis"
"4852","Rhodymenia pseudopalmata"
"4853","Sabellaria alveolata"
"4854","Ahnfeltia plicata"
"4855","Asterina gibbosa"
"4856","Diadumene cincta"
"4857","Dumontia contorta"
"4858","Grantia compressa"
"4859","Haliclona simulans"
"4860","Hildenbrandia rubra"
"4861","Obelia dichotoma"
"4862","Osmundea hybrida"
"4863","Porphyra linearis"
"4864","Cutleria "
"4865","Acanthochitona crinita"
"4866","Anemonia viridis"
"4867","Fucus ceranoides"
"4868","Odostomia turrita"
"4869","Cucumariidae "
"4870","Ophiura affinis"
"4871","Phascolion strombus"
"4872","Thyasira "
"4873","Ampelisca "
"4874","Protomystides "
"4875","Prionospio "
"4876","Abra "
"4877","Capitomastus minimus"
"4878","Kefersteinia cirrata"
"4879","Nucula sulcata"
"4880","Pista cristata"
"4881","Sphaerodorum gracilis"
"4882","Syllis amica"
"4883","Timoclea ovata"
"4884","Caulleriella "
"4885","Pista lornensis"
"4886","Pagurus "
"4887","Ampharetinae "
"4888","Paraonidae "
"4889","Amaeana trilobata"
"4890","Ascophyllum nodosum"
"4891","Elysia viridis"
"4892","Himanthalia elongata"
"4893","Hinia reticulata"
"4894","Lacuna pallidula"
"4895","Lamellaria perspicua"
"4896","Littorina rudis"
"4897","Rissoa parva"
"4898","Rissoella diaphana"
"4899","Codium "
"4900","Desmarestia aculeata"
"4901","Lithothamnion "
"4902","Trivia "
"4903","Asperococcus fistulosus"
"4904","Audouinella purpurea"
"4905","Botrylloides leachi"
"4906","Chorda filum"
"4907","Hymeniacidon sanguinea"
"4908","Lecanora "
"4909","Pilayella littoralis"
"4910","Polyides rotundus"
"4911","Prasiola stipitata"
"4912","Scypha ciliata"
"4913","Spirorbis spirorbis"
"4914","Ulva lactuca"
"4915","Ramalina siliquosa"
"4916","Bangia atropurpurea"
"4917","Haemescharia "
"4918","Lithophyllum incrustans"
"4919","Odonthalia dentata"
"4920","Polysiphonia lanosa"
"4921","Polysiphonia stricta"
"4922","Spongomorpha arcta"
"4923","Eteone "
"4924","Ensis "
"4925","Thracia phaseolina"
"4926","Blidingia minima"
"4927","Clathrina coriacea"
"4928","Leuconia "
"4929","Spirorbis corallinae"
"4930","Spirorbis rupestris"
"4931","Spirorbis tridentatus"
"4932","Spongonema tomentosum"
"4933","Callithamnion "
"4934","Ceramium shuttleworthianum"
"4935","Petalonia fascia"
"4936","Ralfsia verrucosa"
"4937","Bostrychia scorpioides"
"4938","Bowerbankia imbricata"
"4939","Chrysophyta "
"4940","Demospongiae "
"4941","Jaera nordmanni"
"4942","Opegrapha "
"4943","Orchestia mediterranea"
"4944","Polysiphonia atlantica"
"4945","Polysiphonia fibrata"
"4946","Aglaothamnion byssoides"
"4947","Aglaothamnion roseum"
"4948","Anaptychia runcinata"
"4949","Apherusa jurinei"
"4950","Echinogammarus marinus"
"4951","Myriochele "
"4952","Tubificoides "
"4953","Tubulanus annulatus"
"4954","Ampharetidae "
"4955","Anaitides mucosa"
"4956","Blidingia marginata"
"4957","Caloplaca "
"4958","Jaera "
"4959","Alcyonidium "
"4960","Cerebratulus "
"4961","Scrobicularia plana"
"4962","Sphaerosyllis bulbosa"
"4963","Aplysia punctata"
"4964","Chylocladia verticillata"
"4965","Cordylecladia erecta"
"4966","Gibbula magus"
"4967","Porphyropsis coccinea"
"4968","Syngnathus rostellatus"
"4969","Antithamnion "
"4970","Aplidium punctum"
"4971","Brongniartella byssoides"
"4972","Calliblepharis ciliata"
"4973","Callophyllis laciniata"
"4974","Chaetomorpha melagonium"
"4975","Circomphalus casina"
"4976","Cutleria multifida"
"4977","Gloiosiphonia capillaris"
"4978","Halarachnion ligulatum"
"4979","Neopentadactyla mixta"
"4980","Phymatolithon calcareum"
"4981","Polinices pulchellus"
"4982","Rhodophyllis divaricata"
"4983","Sertularia argentea"
"4984","Thyone roscovita"
"4985","Xantho pilipes"
"4986","Sphacelaria "
"4987","Pomatoschistus pictus"
"4988","Peachia cylindrica"
"4989","Aporrhais pespelecani"
"4990","Inachus leptochirus"
"4991","Jujubinus miliaris"
"4992","Pyura microcosmus"
"4993","Sagartiogeton laceratus"
"4994","Tonicella rubra"
"4995","Clausinella fasciata"
"4996","Ectocarpaceae "
"4997","Liocarcinus "
"4998","Pagurus cuanensis"
"4999","Pawsonia saxicola"
"5000","Rhodomela lycopodioides"
"5001","Saccorhiza polyschides"
"5002","Pomatoschistus "
"5003","Amphiura chiajei"
"5004","Anapagurus hyndmanni"
"5005","Beggiatoa "
"5006","Pleuronectidae "
"5007","Bittium reticulatum"
"5008","Eumida bahusiensis"
"5009","Labidoplax media"
"5010","Derbesia "
"5011","Codium atlanticum"
"5012","Didemnidae "
"5013","Elachista "
"5014","Idotea granulosa"
"5015","Lithophyllum "
"5016","Margarites undulata"
"5017","Mesothamnion "
"5018","Phymatolithon "
"5019","Tigriopus brevicornis"
"5020","Lipophrys pholis"
"5021","Amphipholis squamata"
"5022","Diphasia pinaster"
"5023","Littorina nigrolineata"
"5024","Polysiphonia elongella"
"5025","Sabellaria "
"5026","Griffithsia "
"5027","Eumida "
"5028","Haustorius arenarius"
"5029","Scolelepis "
"5030","Ulothrix "
"5031","Chaetomorpha "
"5032","Sphaeroma monodi"
"5033","Celleporella hyalina"
"5034","Haraldiophyllum bonnemaisonii"
"5035","Homarus gammarus"
"5036","Incertae sedis"
"5037","Ostrea edulis"
"5038","Gobius niger"
"5039","Bicellariella ciliata"
"5040","Distaplia rosea"
"5041","Haliclona cinerea"
"5042","Janolus cristatus"
"5043","Kallymenia reniformis"
"5044","Liocarcinus arcuatus"
"5045","Sacculina carcini"
"5046","Suberites "
"5047","Tethyspira spinosa"
"5048","Urticina eques"
"5049","Atylus swammerdamei"
"5050","Axinellidae "
"5051","Bispira volutacornis"
"5052","Bugula plumosa"
"5053","Cellaria sinuosa"
"5054","Disporella hispida"
"5055","Erythroglossum laciniatum"
"5056","Gigartina "
"5057","Lomentaria orcadensis"
"5058","Mangelia "
"5059","Phyllophora sicula"
"5060","Pycnoclavella aurilucens"
"5061","Schottera nicaeensisres"
"5062","Scrupocellaria "
"5063","Taonia atomaria"
"5064","Trivia monacha"
"5065","Zanardinia prototypus"
"5066","Conger conger"
"5067","Actinothoe sphyrodeta"
"5068","Alcyonidium diaphanum"
"5069","Cerebratulus fuscus"
"5070","Cystoseira tamariscifolia"
"5071","Furcellaria lumbricalis"
"5072","Gastroclonium ovatum"
"5073","Limapontia capitata"
"5074","Phascolosoma granulatum"
"5075","Pusillina sarsi"
"5076","Rissoa interrupta"
"5077","Rissoa rufilabrum"
"5078","Gasterosteus aculeatus"
"5079","Tapes decussatus"
"5080","Idotea baltica"
"5081","Ischnochiton albus"
"5082","Pseudolithoderma extensum"
"5083","Pseudopotamilla reniformis"
"5084","Pterosiphonia parasitica"
"5085","Coryphella browni"
"5086","Doto coronata"
"5087","Hyas "
"5088","Lepidonotus clava"
"5089","Myxilla incrustans"
"5090","Bolinopsis infundibulum"
"5091","Aglaophenia "
"5092","Macropodia "
"5093","Palliolum striatum"
"5094","Sarsia eximia"
"5095","Thyonidium drummondii"
"5096","Ascidia virginea"
"5097","Bugula fulva"
"5098","Doto eireana"
"5099","Lissoclinum perforatum"
"5100","Rossia macrosoma"
"5101","Uteriporus vulgaris"
"5102","Alentia gelatinosa"
"5103","Amphiporus dissimulans"
"5104","Brachystomia eulimoides"
"5105","Chrysallida interstincta"
"5106","Circeis spirillum"
"5107","Hydroides norvegica"
"5108","Leucosolenia botryoides"
"5109","Maja squinado"
"5110","Margarites striatus"
"5111","Odostomia unidentata"
"5112","Onchidoris muricata"
"5113","Palliolum furtivum"
"5114","Partulida pellucida"
"5115","Chirolophis ascanii"
"5116","Zoarces viviparus"
"5117","Alvania beanii"
"5118","Ventrosia ventrosa"
"5119","Emplectonema neesii"
"5120","Lasaea adansoni"
"5121","Lineus viridis"
"5122","Asperococcus "
"5123","Codium fragile"
"5124","Colpomenia peregrina"
"5125","Gastroclonium reflexum"
"5126","Leathesia difformis"
"5127","Petalonia "
"5128","Sargassum muticum"
"5129","Umbonula littoralis"
"5130","Actiniaria "
"5131","Melita hergensis"
"5132","Leptocheirus hirsutimanus"
"5133","Schistomeringos neglecta"
"5134","Tharyx "
"5135","Typosyllis "
"5136","Atylus "
"5137","Cheirocratus "
"5138","Corophium sextonae"
"5139","Eusyllis "
"5140","Stenothoidae "
"5141","Hydroides "
"5142","Audouinella secundata"
"5143","Callithamnion tetragonum"
"5144","Cirriformia tentaculata"
"5145","Echinogammarus obtusatus"
"5146","Enteromorpha intestinalis"
"5147","Enteromorpha linza"
"5148","Enteromorpha prolifera"
"5149","Grania "
"5150","Halecium beanii"
"5151","Hyale prevostii"
"5152","Idotea pelagica"
"5153","Isthmoplea sphaerophora"
"5154","Jaera praehirsuta"
"5155","Janthina "
"5156","Janua pagenstecheri"
"5157","Jassa falcata"
"5158","Melobesia membranacea"
"5159","Morchellium argus"
"5160","Nephasoma minutum"
"5161","Orchestia gammarellus"
"5162","Perinereis cultrifera"
"5163","Ulothrix flacca"
"5164","Urospora penicilliformis"
"5165","Actinia fragacea"
"5166","Amathia lendigera"
"5167","Bugula simplex"
"5168","Chlorophyta "
"5169","Spinachia spinachia"
"5170","Diplosoma listerianum"
"5171","Palaemon serratus"
"5172","Polycarpa scuba"
"5173","Anguilla anguilla"
"5174","Axinella damicornis"
"5175","Axinella dissimilis"
"5176","Boscia anglica"
"5177","Eunicella verrucosa"
"5178","Haliclona viscosa"
"5179","Holothuria forskali"
"5180","Parazoanthus axinellae"
"5181","Plumularia setacea"
"5182","Polymastia boletiformis"
"5183","Raspailia hispida"
"5184","Sertularia "
"5185","Centrolabrus exoletus"
"5186","Ctenolabrus rupestris"
"5187","Bathyporeia "
"5188","Phaeophyta "
"5189","Amphoriscidae "
"5190","Chironomida "
"5191","Enteromorpha clathrata"
"5192","Pseudendoclonium "
"5193","Ruppia "
"5194","Sphaerococcus coronopifolius"
"5195","Zostera marina"
"5196","Pollachius virens"
"5197","Akera bullata"
"5198","Didemnum maculosum"
"5199","Diplosoma spongiforme"
"5200","Distomus variolosus"
"5201","Garveia nutans"
"5202","Sidnyum turbinatum"
"5203","Parablennius gattorugine"
"5204","Aglaophenia pluma"
"5205","Bonnemaisonia asparagoides"
"5206","Bugula flabellata"
"5207","Desmarestia ligulata"
"5208","Leucosolenia complicata"
"5209","Polycera faeroensis"
"5210","Raspailia ramosa"
"5211","Stylostichon plumosum"
"5212","Bryopsis "
"5213","Bonnemaisonia hamifera"
"5214","Coccotylus truncatus"
"5215","Codium tomentosoides"
"5216","Polysiphonia nigra"
"5217","Sabella "
"5218","Sagartiogeton "
"5219","Galathea "
"5220","Diodora graeca"
"5221","Ophiactis balli"
"5222","Rhodophyllis "
"5223","Asperococcus compressus"
"5224","Caprellida "
"5225","Clymenura johnstoni"
"5226","Diastylis laevis"
"5227","Ehlersia cornuta"
"5228","Euclymene oerstedii"
"5229","Janira maculosa"
"5230","Laonice bahusiensis"
"5231","Phoronis muelleri"
"5232","Polycirrus norvegicus"
"5233","Tanaopsis gracilioides"
"5234","Urothoe marina"
"5235","Ampelisca typica"
"5236","Chordaria flagelliformis"
"5237","Liocarcinus corrugatus"
"5238","Mesogloia vermiculata"
"5239","Sphacelaria plumula"
"5240","Crangonidae "
"5241","Leptopsammia pruvoti"
"5242","Luidia "
"5243","Cepola rubescens"
"5244","Sabellidae "
"5245","Sagartia "
"5246","Zostera "
"5247","Didemnum "
"5248","Pterothamnion "
"5249","Bowerbankia "
"5250","Inachus "
"5251","Bicellarina alderi"
"5252","Branchiomma "
"5253","Calliostoma "
"5254","Calyptraea chinensis"
"5255","Desmacidon "
"5256","Homaxinella subdola"
"5257","Chaetopterus "
"5258","Onchidoris "
"5259","Polycera "
"5260","Stelligera stuposa"
"5261","Laminaria ochroleuca"
"5262","Zeugopterus punctatus"
"5263","Halichondria "
"5264","Chthamalus "
"5265","Pikea californica"
"5266","Audouinella membranacea"
"5267","Compsothamnion "
"5268","Crisia denticulata"
"5269","Cruoria pellita"
"5270","Cucumaria "
"5271","Haliclona rosea"
"5272","Laminariaceae "
"5273","Laomedea "
"5274","Meredithia microphylla"
"5275","Myxilla "
"5276","Phorbas "
"5277","Rhodymenia holmesii"
"5278","Schmitzia hiscockiana"
"5279","Scorpaena "
"5280","Scrupocellaria reptans"
"5281","Scrupocellaria scruposa"
"5282","Sertularella "
"5283","Sphondylothamnion multifidum"
"5284","Tricolia pullus"
"5285","Labridae "
"5286","Acrosorium venulosum"
"5287","Gelidium sesquipedale"
"5288","Ascophorina "
"5289","Ceramium echionotum"
"5290","Crisidia cornuta"
"5291","Drachiella spectabilis"
"5292","Gymnogongrus crenulatus"
"5293","Polysiphonia brodiei"
"5294","Pterosiphonia complanata"
"5295","Pterosiphonia pennata"
"5296","Rissoidae "
"5297","Aplidium pallidum"
"5298","Asparagopsis armata"
"5299","Cystoseira nodicaulis"
"5300","Polyneura bonnemaisonii"
"5301","Porphyropsis "
"5302","Punctaria "
"5303","Rhodophysema georgei"
"5304","Stenogramme interrupta"
"5305","Chondria "
"5306","Anthopleura ballii"
"5307","Cruoria "
"5308","Tectura "
"5309","Halecium "
"5310","Halopteris filicina"
"5311","Scorpaena scrofa"
"5312","Cephalopoda "
"5313","Crassostrea "
"5314","Spirorbis "
"5315","Phymatolithon purpureum"
"5316","Tapes rhomboides"
"5317","Syngnathus acus"
"5318","Apseudes latreillii"
"5319","Asperococcus bullosus"
"5320","Dermocorynus montagnei"
"5321","Dosinia lupinus"
"5322","Dudresnaya verticillata"
"5323","Grateloupia filicina"
