"","sample_id","phylo_div","SR"
"105","AD1_2006__Diekoetter 1  46__2001-07-16",5,1
"106","AD1_2006__Diekoetter 1  47__2001-07-16",5,1
"107","AD1_2006__Diekoetter 1  48__2001-07-16",5,1
"108","AD1_2006__Diekoetter 1  53__2001-07-16",5,1
"109","AD1_2006__Diekoetter 1  54__2001-07-16",5,1
"110","AD1_2006__Diekoetter 1  55__2001-07-16",5,1
"111","AD1_2006__Diekoetter 1  56__2001-07-16",5,1
"112","AD1_2006__Diekoetter 1  58__2001-07-16",5,1
"113","AD1_2006__Diekoetter 1  59__2001-07-16",5,1
"114","AD1_2006__Diekoetter 1  60__2001-07-16",5,1
"115","AD1_2006__Diekoetter 1  63__2001-07-16",5,1
"116","AD1_2006__Diekoetter 1  64__2001-07-16",5,1
"117","AD1_2006__Diekoetter 1  65__2001-07-16",5,1
"118","AD1_2006__Diekoetter 1  66__2001-07-16",5,1
"119","AD1_2006__Diekoetter 1  67__2001-07-16",5,1
"120","AD1_2006__Diekoetter 1  69__2001-07-16",5,1
"121","AD1_2006__Diekoetter 1  6__2001-07-16",5,1
"122","AD1_2006__Diekoetter 1  70__2001-07-16",5,1
"123","AD1_2006__Diekoetter 1  71__2001-07-16",5,1
"124","AD1_2006__Diekoetter 1  72__2001-07-16",5,1
"125","AD1_2006__Diekoetter 1  73__2001-07-16",5,1
"126","AD1_2006__Diekoetter 1  74__2001-07-16",5,1
"127","AD1_2006__Diekoetter 1  75__2001-07-16",5,1
"128","AD1_2006__Diekoetter 1  76__2001-07-16",5,1
"129","AD1_2006__Diekoetter 1  78__2001-07-16",5,1
"130","AD1_2006__Diekoetter 1  79__2001-07-16",5,1
"131","AD1_2006__Diekoetter 1  80__2001-07-16",5,1
"132","AD1_2006__Diekoetter 1  81__2001-07-16",5,1
"133","AD1_2006__Diekoetter 1  83__2001-07-16",5,1
"134","AD1_2006__Diekoetter 1  84__2001-07-16",5,1
"135","AD1_2006__Diekoetter 1  85__2001-07-16",5,1
"136","AD1_2006__Diekoetter 1  87__2001-07-16",5,1
"137","AD1_2006__Diekoetter 1  88__2001-07-16",5,1
"138","AD1_2006__Diekoetter 1  90__2001-07-16",5,1
"139","AD1_2006__Diekoetter 1  93__2001-07-16",5,1
"140","AD1_2006__Diekoetter 1  94__2001-07-16",5,1
"141","AD1_2006__Diekoetter 1  95__2001-07-16",5,1
"142","AD1_2006__Diekoetter 1  96__2001-07-16",5,1
"143","AD1_2006__Diekoetter 1  99__2001-07-16",5,1
"144","AD1_2006__Diekoetter 1  9__2001-07-16",5,1
"145","AD1_2006__Marshall 1 A 1__2003-06-21",5,1
"146","AD1_2006__Marshall 1 A 22__2003-06-21",5,1
"147","AD1_2006__Marshall 1 B 23__2003-06-21",5,1
"148","AD1_2006__Marshall 1 B 2__2003-06-21",5,1
"149","AD1_2006__Marshall 1 C 24__2003-06-21",5,1
"150","AD1_2006__Marshall 1 C 3__2003-06-21",6,2
"151","AD1_2006__Marshall 1 D 25__2003-06-21",5,1
"152","AD1_2006__Marshall 1 D 4__2003-06-21",5,1
"153","AD1_2006__Marshall 1 E 26__2003-06-21",7,3
"154","AD1_2006__Marshall 1 E 5__2003-06-21",5,1
"155","AD1_2006__Marshall 1 F 27__2003-06-21",6,2
"156","AD1_2006__Marshall 1 F 6__2003-06-21",5,1
"157","AD1_2006__Marshall 1 G 29__2003-06-21",5,1
"158","AD1_2006__Marshall 1 G 8__2003-06-21",5,1
"159","AD1_2006__Marshall 1 H 30__2003-06-21",5,1
