"","sample_id","phylo_div","SR"
"3179","BS1_2012__Naithani 1 site_1 13__2007-07-02",42,29
"3180","BS1_2012__Naithani 1 site_1 1__2005-07-02",42,29
"3181","BS1_2012__Naithani 1 site_1 7__2006-07-02",42,29
"3182","BS1_2012__Naithani 1 site_2 14__2007-07-02",34,23
"3183","BS1_2012__Naithani 1 site_2 2__2005-07-02",31,21
"3184","BS1_2012__Naithani 1 site_2 8__2006-07-02",34,23
"3185","BS1_2012__Naithani 1 site_3 15__2007-07-02",35,24
"3186","BS1_2012__Naithani 1 site_3 3__2005-07-02",33,22
"3187","BS1_2012__Naithani 1 site_3 9__2006-07-02",38,25
"3188","BS1_2012__Naithani 1 site_4 10__2006-07-02",42,29
"3189","BS1_2012__Naithani 1 site_4 16__2007-07-02",42,29
"3190","BS1_2012__Naithani 1 site_4 4__2005-07-02",37,26
"3191","BS1_2012__Naithani 1 site_5 11__2006-07-02",38,27
"3192","BS1_2012__Naithani 1 site_5 17__2007-07-02",38,27
"3193","BS1_2012__Naithani 1 site_5 5__2005-07-02",33,22
"3194","BS1_2012__Naithani 1 site_6 12__2006-07-02",38,26
"3195","BS1_2012__Naithani 1 site_6 18__2007-07-02",38,26
"3196","BS1_2012__Naithani 1 site_6 6__2005-07-02",36,24
"3197","CC1_2004__Clark 1 A 10__2002-08-04",5,1
"3198","CC1_2004__Clark 1 A 1__2002-02-26",9,5
"3199","CC1_2004__Clark 1 A 2__2002-05-01",7,3
"3200","CC1_2004__Clark 1 A 3__2002-06-08",6,2
"3201","CC1_2004__Clark 1 A 4__2002-07-14",6,2
"3202","CC1_2004__Clark 1 A 5__2002-08-04",9,5
"3203","CC1_2004__Clark 1 A 6__2002-02-26",6,2
"3204","CC1_2004__Clark 1 A 7__2002-05-01",6,2
"3205","CC1_2004__Clark 1 A 8__2002-06-08",5,1
"3206","CC1_2004__Clark 1 A 9__2002-07-14",6,2
"3207","CC1_2004__Clark 1 B 11__2002-03-11",7,3
"3208","CC1_2004__Clark 1 B 12__2002-05-17",5,1
"3209","CC1_2004__Clark 1 B 13__2002-06-25",7,3
"3210","CC1_2004__Clark 1 B 14__2002-07-07",6,2
"3211","CC1_2004__Clark 1 B 15__2002-07-21",6,2
"3212","CC1_2004__Clark 1 B 16__2002-03-11",7,3
"3213","CC1_2004__Clark 1 B 17__2002-05-17",5,1
"3214","CC1_2004__Clark 1 B 18__2002-06-25",6,2
"3215","CC1_2004__Clark 1 B 19__2002-07-07",7,3
"3216","CC1_2004__Clark 1 B 20__2002-07-21",5,1
"3217","CC1_2004__Clark 1 C 21__2002-03-18",10,6
"3218","CC1_2004__Clark 1 C 22__2002-05-01",6,2
"3219","CC1_2004__Clark 1 C 23__2002-05-30",6,2
"3220","CC1_2004__Clark 1 C 24__2002-07-14",5,1
"3221","CC1_2004__Clark 1 C 25__2002-08-04",5,1
"3222","CC1_2004__Clark 1 C 26__2002-03-18",5,1
"3223","CC1_2004__Clark 1 C 27__2002-05-01",5,1
"3224","CC1_2004__Clark 1 C 28__2002-05-30",5,1
"3225","CC1_2004__Clark 1 C 29__2002-07-14",5,1
"3226","CC1_2004__Clark 1 C 30__2002-08-04",7,3
"3227","CC1_2005__Barratt 1  1__2002-01-16",9,3
"3228","CC1_2005__Barratt 1  2__2002-01-16",9,3
"3229","CC1_2005__Barratt 2  1__2002-03-02",10,4
"3230","CC1_2005__Barratt 2  2__2002-03-16",9,3
"3231","CC1_2006__Norton 1  10__2005-02-14",9,3
"3232","CC1_2006__Norton 1  11__2005-02-14",10,4
"3233","CC1_2006__Norton 1  12__2005-02-14",9,3
"3234","CC1_2006__Norton 1  13__2005-02-14",11,4
"3235","CC1_2006__Norton 1  14__2005-02-14",11,4
"3236","CC1_2006__Norton 1  15__2005-02-14",13,5
"3237","CC1_2006__Norton 1  16__2005-02-14",14,4
"3238","CC1_2006__Norton 1  17__2005-02-14",7,2
"3239","CC1_2006__Norton 1  18__2005-02-14",7,2
"3240","CC1_2006__Norton 1  19__2005-02-14",7,2
"3241","CC1_2006__Norton 1  1__2005-02-14",11,4
"3242","CC1_2006__Norton 1  20__2005-02-14",11,4
"3243","CC1_2006__Norton 1  21__2005-02-14",9,3
"3244","CC1_2006__Norton 1  22__2005-02-14",9,3
"3245","CC1_2006__Norton 1  23__2005-02-14",9,3
"3246","CC1_2006__Norton 1  24__2005-02-14",13,5
"3247","CC1_2006__Norton 1  25__2005-02-14",9,3
"3248","CC1_2006__Norton 1  26__2005-02-14",13,5
"3249","CC1_2006__Norton 1  27__2005-02-14",7,2
"3250","CC1_2006__Norton 1  28__2005-02-14",10,4
"3251","CC1_2006__Norton 1  29__2005-02-14",7,2
"3252","CC1_2006__Norton 1  2__2005-02-14",11,4
"3253","CC1_2006__Norton 1  30__2005-02-14",7,2
"3254","CC1_2006__Norton 1  31__2005-02-14",9,3
"3255","CC1_2006__Norton 1  32__2005-02-14",11,4
"3256","CC1_2006__Norton 1  3__2005-02-14",11,4
"3257","CC1_2006__Norton 1  4__2005-02-14",9,3
"3258","CC1_2006__Norton 1  5__2005-02-14",11,4
"3259","CC1_2006__Norton 1  6__2005-02-14",9,3
"3260","CC1_2006__Norton 1  7__2005-02-14",10,4
"3261","CC1_2006__Norton 1  8__2005-02-14",9,3
"3262","CC1_2006__Norton 1  9__2005-02-14",9,3
"3263","CC1_2007__Ewers 1 A 10__2000-12-20",15,11
"3264","CC1_2007__Ewers 1 A 11__2000-12-20",18,14
"3265","CC1_2007__Ewers 1 A 12__2000-12-20",15,11
"3266","CC1_2007__Ewers 1 A 13__2000-12-20",15,11
"3267","CC1_2007__Ewers 1 A 1__2000-12-20",23,19
"3268","CC1_2007__Ewers 1 A 2__2000-12-20",18,14
"3269","CC1_2007__Ewers 1 A 3__2000-12-20",17,13
"3270","CC1_2007__Ewers 1 A 4__2000-12-20",19,15
"3271","CC1_2007__Ewers 1 A 5__2000-12-20",15,11
"3272","CC1_2007__Ewers 1 A 6__2000-12-20",15,11
"3273","CC1_2007__Ewers 1 A 7__2000-12-20",17,13
"3274","CC1_2007__Ewers 1 A 8__2000-12-20",20,16
"3275","CC1_2007__Ewers 1 A 9__2000-12-20",15,11
"3276","CC1_2007__Ewers 1 B 14__2000-12-20",31,27
"3277","CC1_2007__Ewers 1 B 15__2000-12-20",20,16
"3278","CC1_2007__Ewers 1 B 16__2000-12-20",14,10
"3279","CC1_2007__Ewers 1 B 17__2000-12-20",26,22
"3280","CC1_2007__Ewers 1 B 18__2000-12-20",20,16
"3281","CC1_2007__Ewers 1 B 19__2000-12-20",22,18
"3282","CC1_2007__Ewers 1 B 20__2000-12-20",23,19
"3283","CC1_2007__Ewers 1 B 21__2000-12-20",22,18
"3284","CC1_2007__Ewers 1 B 22__2000-12-20",22,18
"3285","CC1_2007__Ewers 1 B 23__2000-12-20",22,18
"3286","CC1_2007__Ewers 1 B 24__2000-12-20",22,18
"3287","CC1_2007__Ewers 1 B 25__2000-12-20",14,10
"3288","CC1_2007__Ewers 1 B 26__2000-12-20",14,10
"3289","CC1_2007__Ewers 1 B 27__2000-12-20",12,8
"3290","CC1_2007__Ewers 1 B 28__2000-12-20",15,11
"3291","CC1_2007__Ewers 1 C 29__2000-12-20",20,16
"3292","CC1_2007__Ewers 1 C 30__2000-12-20",19,15
"3293","CC1_2007__Ewers 1 C 31__2000-12-20",19,15
"3294","CC1_2007__Ewers 1 C 32__2000-12-20",22,18
"3295","CC1_2007__Ewers 1 C 33__2000-12-20",19,15
"3296","CC1_2007__Ewers 1 C 34__2000-12-20",17,13
"3297","CC1_2007__Ewers 1 C 35__2000-12-20",22,18
"3298","CC1_2007__Ewers 1 C 36__2000-12-20",22,18
"3299","CC1_2007__Ewers 1 C 37__2000-12-20",16,12
"3300","CC1_2007__Ewers 1 C 38__2000-12-20",29,25
"3301","CC1_2007__Ewers 1 C 39__2000-12-20",19,15
"3302","CC1_2007__Ewers 1 C 40__2000-12-20",26,22
"3303","CC1_2007__Ewers 1 C 41__2000-12-20",19,15
"3304","CC1_2007__Ewers 1 C 42__2000-12-20",17,13
"3305","CC1_2007__Ewers 1 C 43__2000-12-20",15,11
"3306","CC1_2007__Ewers 1 C 44__2000-12-20",14,10
"3307","CC1_2007__Ewers 1 C 45__2000-12-20",15,11
"3308","CC1_2007__Ewers 1 C 46__2000-12-20",13,9
"3309","CC1_2007__Ewers 1 C 47__2000-12-20",13,9
"3310","CC1_2007__Ewers 1 C 48__2000-12-20",18,14
"3311","CC1_2007__Ewers 1 C 49__2000-12-20",19,15
"3312","CC1_2007__Ewers 1 D 50__2000-12-20",22,18
"3313","CC1_2007__Ewers 1 D 51__2000-12-20",25,21
"3314","CC1_2007__Ewers 1 D 52__2000-12-20",21,17
"3315","CC1_2007__Ewers 1 D 53__2000-12-20",21,17
"3316","CC1_2007__Ewers 1 D 54__2000-12-20",25,21
"3317","CC1_2007__Ewers 1 D 55__2000-12-20",21,17
"3318","CC1_2007__Ewers 1 D 56__2000-12-20",17,13
"3319","CC1_2007__Ewers 1 D 57__2000-12-20",16,12
"3320","CC1_2007__Ewers 1 D 58__2000-12-20",15,11
"3321","CC1_2007__Ewers 1 E 59__2000-12-20",21,17
"3322","CC1_2007__Ewers 1 E 60__2000-12-20",19,15
"3323","CC1_2007__Ewers 1 E 61__2000-12-20",17,13
"3324","CC1_2007__Ewers 1 E 62__2000-12-20",22,18
"3325","CC1_2007__Ewers 1 E 63__2000-12-20",21,17
"3326","CC1_2007__Ewers 1 E 64__2000-12-20",27,23
"3327","CC1_2007__Ewers 1 E 65__2000-12-20",23,19
"3328","CC1_2007__Ewers 1 E 66__2000-12-20",22,18
"3329","CC1_2007__Ewers 1 E 67__2000-12-20",25,21
"3330","CC1_2007__Ewers 1 E 68__2000-12-20",22,18
"3331","CC1_2007__Ewers 1 E 69__2000-12-20",19,15
"3332","CC1_2007__Ewers 1 E 70__2000-12-20",22,18
"3333","CC1_2007__Ewers 1 E 71__2000-12-20",20,16
"3334","CC1_2007__Ewers 1 E 72__2000-12-20",13,9
"3335","CC1_2007__Ewers 1 E 73__2000-12-20",15,11
"3336","CC1_2007__Ewers 1 E 74__2000-12-20",14,10
"3337","CC1_2007__Ewers 1 E 75__2000-12-20",14,10
"3338","CC1_2007__Ewers 1 F 76__2000-12-20",21,17
"3339","CC1_2007__Ewers 1 F 77__2000-12-20",21,17
"3340","CC1_2007__Ewers 1 F 78__2000-12-20",21,17
"3341","CC1_2007__Ewers 1 F 79__2000-12-20",24,20
"3342","CC1_2007__Ewers 1 F 80__2000-12-20",18,14
"3343","CC1_2007__Ewers 1 F 81__2000-12-20",15,11
"3344","CC1_2007__Ewers 1 F 82__2000-12-20",12,8
"3345","CC1_2007__Ewers 1 G 83__2000-12-20",23,19
"3346","CC1_2007__Ewers 1 G 84__2000-12-20",27,23
"3347","CC1_2007__Ewers 1 G 85__2000-12-20",15,11
"3348","CC1_2007__Ewers 1 G 86__2000-12-20",16,12
"3349","CC1_2007__Ewers 1 G 87__2000-12-20",21,17
"3350","CC1_2007__Ewers 1 G 88__2000-12-20",23,19
"3351","CC1_2007__Ewers 1 G 89__2000-12-20",19,15
"3352","CC1_2007__Ewers 1 H 100__2000-12-20",21,17
"3353","CC1_2007__Ewers 1 H 101__2000-12-20",17,13
"3354","CC1_2007__Ewers 1 H 102__2000-12-20",19,15
"3355","CC1_2007__Ewers 1 H 103__2000-12-20",16,12
"3356","CC1_2007__Ewers 1 H 104__2000-12-20",17,13
"3357","CC1_2007__Ewers 1 H 105__2000-12-20",19,15
"3358","CC1_2007__Ewers 1 H 106__2000-12-20",18,14
"3359","CC1_2007__Ewers 1 H 107__2000-12-20",17,13
"3360","CC1_2007__Ewers 1 H 108__2000-12-20",22,18
"3361","CC1_2007__Ewers 1 H 109__2000-12-20",17,13
"3362","CC1_2007__Ewers 1 H 110__2000-12-20",18,14
"3363","CC1_2007__Ewers 1 H 90__2000-12-20",19,15
"3364","CC1_2007__Ewers 1 H 91__2000-12-20",16,12
"3365","CC1_2007__Ewers 1 H 92__2000-12-20",17,13
"3366","CC1_2007__Ewers 1 H 93__2000-12-20",15,11
"3367","CC1_2007__Ewers 1 H 94__2000-12-20",18,14
"3368","CC1_2007__Ewers 1 H 95__2000-12-20",17,13
"3369","CC1_2007__Ewers 1 H 96__2000-12-20",16,12
"3370","CC1_2007__Ewers 1 H 97__2000-12-20",17,13
"3371","CC1_2007__Ewers 1 H 98__2000-12-20",20,16
"3372","CC1_2007__Ewers 1 H 99__2000-12-20",16,12
"3373","CC1_2007__Ewers 1 I 111__2000-12-20",20,16
"3374","CC1_2007__Ewers 1 I 112__2000-12-20",19,15
"3375","CC1_2007__Ewers 1 I 113__2000-12-20",21,17
"3376","CC1_2007__Ewers 1 I 114__2000-12-20",25,21
"3377","CC1_2007__Ewers 1 I 115__2000-12-20",27,23
"3378","CC1_2007__Ewers 1 I 116__2000-12-20",28,24
"3379","CC1_2007__Ewers 1 I 117__2000-12-20",16,12
"3380","CC1_2007__Ewers 1 I 118__2000-12-20",22,18
"3381","CC1_2007__Ewers 1 I 119__2000-12-20",22,18
"3382","CC1_2007__Ewers 1 I 120__2000-12-20",24,20
"3383","CC1_2007__Ewers 1 I 121__2000-12-20",26,22
"3384","CC1_2007__Ewers 1 I 122__2000-12-20",16,12
"3385","CC1_2007__Ewers 1 I 123__2000-12-20",13,9
"3386","CC1_2007__Ewers 1 I 124__2000-12-20",16,12
"3387","CC1_2007__Ewers 1 I 125__2000-12-20",12,8
"3388","CC1_2007__Ewers 1 I 126__2000-12-20",21,17
"3389","CC1_2007__Ewers 1 I 127__2000-12-20",16,12
"3390","CC1_2007__Ewers 1 I 128__2000-12-20",16,12
"3391","CC1_2007__Ewers 1 I 129__2000-12-20",16,12
"3392","CC1_2007__Ewers 1 I 130__2000-12-20",15,11
"3393","CC1_2007__Ewers 1 I 131__2000-12-20",19,15
"3394","CC1_2007__Ewers 1 J 132__2000-12-20",29,25
"3395","CC1_2007__Ewers 1 J 133__2000-12-20",24,20
"3396","CC1_2007__Ewers 1 J 134__2000-12-20",23,19
"3397","CC1_2007__Ewers 1 J 135__2000-12-20",20,16
"3398","CC1_2007__Ewers 1 J 136__2000-12-20",23,19
"3399","CC1_2007__Ewers 1 J 137__2000-12-20",21,17
"3400","CC1_2007__Ewers 1 J 138__2000-12-20",25,21
"3401","CC1_2007__Ewers 1 J 139__2000-12-20",24,20
"3402","CC1_2007__Ewers 1 J 140__2000-12-20",22,18
"3403","CC1_2007__Ewers 1 J 141__2000-12-20",21,17
"3404","CC1_2007__Ewers 1 J 142__2000-12-20",21,17
"3405","CC1_2007__Ewers 1 J 143__2000-12-20",18,14
"3406","CC1_2007__Ewers 1 J 144__2000-12-20",21,17
"3407","CC1_2007__Ewers 1 J 145__2000-12-20",16,12
"3408","CC1_2007__Ewers 1 J 146__2000-12-20",13,9
"3409","CC1_2007__Ewers 1 J 147__2000-12-20",12,8
"3410","CC1_2007__Ewers 1 J 148__2000-12-20",14,10
"3411","CC1_2007__Ewers 1 J 149__2000-12-20",18,14
"3412","CC1_2007__Ewers 1 J 150__2000-12-20",14,10
"3413","CC1_2007__Ewers 1 K 151__2000-12-20",21,17
"3414","CC1_2007__Ewers 1 K 152__2000-12-20",20,16
"3415","CC1_2007__Ewers 1 K 153__2000-12-20",22,18
"3416","CC1_2007__Ewers 1 K 154__2000-12-20",19,15
"3417","CC1_2007__Ewers 1 K 155__2000-12-20",20,16
"3418","CC1_2007__Ewers 1 K 156__2000-12-20",22,18
"3419","CC1_2007__Ewers 1 K 157__2000-12-20",18,14
"3420","CC1_2007__Ewers 1 K 158__2000-12-20",18,14
"3421","CC1_2007__Ewers 1 K 159__2000-12-20",23,19
"3422","CC1_2007__Ewers 1 K 160__2000-12-20",26,22
"3423","CC1_2007__Ewers 1 K 161__2000-12-20",25,21
"3424","CC1_2007__Ewers 1 K 162__2000-12-20",22,18
"3425","CC1_2007__Ewers 1 K 163__2000-12-20",21,17
"3426","CC1_2007__Ewers 1 K 164__2000-12-20",20,16
"3427","CC1_2007__Ewers 1 K 165__2000-12-20",23,19
"3428","CC1_2007__Ewers 1 K 166__2000-12-20",21,17
"3429","CC1_2007__Ewers 1 K 167__2000-12-20",22,18
"3430","CC1_2007__Ewers 1 K 168__2000-12-20",24,20
"3431","CC1_2007__Ewers 1 K 169__2000-12-20",25,21
"3432","CC1_2007__Ewers 1 K 170__2000-12-20",15,11
"3433","CC1_2007__Ewers 1 K 171__2000-12-20",20,16
"3434","CC1_2007__Ewers 1 L 172__2000-12-20",19,15
"3435","CC1_2007__Ewers 1 L 173__2000-12-20",24,20
"3436","CC1_2007__Ewers 1 L 174__2000-12-20",32,28
"3437","CC1_2007__Ewers 1 L 175__2000-12-20",25,21
"3438","CC1_2007__Ewers 1 L 176__2000-12-20",24,20
"3439","CC1_2007__Ewers 1 L 177__2000-12-20",31,27
"3440","CC1_2007__Ewers 1 L 178__2000-12-20",30,26
"3441","CC1_2007__Ewers 1 L 179__2000-12-20",14,10
"3442","CC1_2007__Ewers 1 L 180__2000-12-20",13,9
"3443","CC1_2007__Ewers 1 L 181__2000-12-20",12,8
"3444","CC1_2007__Ewers 1 L 182__2000-12-20",16,12
"3445","CC1_2007__Ewers 1 L 183__2000-12-20",15,11
"3446","CC1_2007__Ewers 1 L 184__2000-12-20",9,5
"3447","CC1_2007__Ewers 1 M 185__2000-12-20",12,8
"3448","CC1_2007__Ewers 1 M 186__2000-12-20",14,10
"3449","CC1_2007__Ewers 1 M 187__2000-12-20",17,13
"3450","CC1_2007__Ewers 1 M 188__2000-12-20",9,5
"3451","CC1_2007__Ewers 1 M 189__2000-12-20",8,4
"3452","CC1_2007__Ewers 1 N 190__2000-12-20",21,17
"3453","CC1_2007__Ewers 1 N 191__2000-12-20",19,15
"3454","CC1_2007__Ewers 1 N 192__2000-12-20",27,23
"3455","CC1_2007__Ewers 1 N 193__2000-12-20",18,14
"3456","CC1_2007__Ewers 1 N 194__2000-12-20",20,16
"3457","CC1_2007__Ewers 1 N 195__2000-12-20",20,16
"3458","CC1_2007__Ewers 1 N 196__2000-12-20",20,16
"3459","CC1_2007__Ewers 1 N 197__2000-12-20",24,20
"3460","CC1_2007__Ewers 1 N 198__2000-12-20",23,19
"3461","CC1_2007__Ewers 1 N 199__2000-12-20",22,18
"3462","CC1_2007__Ewers 1 N 200__2000-12-20",26,22
"3463","CC1_2007__Ewers 1 O 201__2000-12-20",15,11
"3464","CC1_2007__Ewers 1 O 202__2000-12-20",14,10
"3465","CC1_2007__Ewers 1 O 203__2000-12-20",15,11
"3466","CC1_2007__Ewers 1 O 204__2000-12-20",12,8
"3467","CC1_2007__Ewers 1 O 205__2000-12-20",14,10
"3468","CC1_2007__Ewers 1 O 206__2000-12-20",12,8
"3469","CC1_2007__Ewers 1 O 207__2000-12-20",12,8
"3470","CC1_2007__Ewers 1 O 208__2000-12-20",10,6
"3471","CC1_2007__Ewers 1 O 209__2000-12-20",15,11
"3472","CC1_2007__Ewers 1 O 210__2000-12-20",13,9
"3473","CC1_2007__Ewers 1 P 211__2000-12-20",20,16
"3474","CC1_2007__Ewers 1 P 212__2000-12-20",25,21
"3475","CC1_2007__Ewers 1 P 213__2000-12-20",21,17
"3476","CC1_2007__Ewers 1 P 214__2000-12-20",26,22
"3477","CC1_2007__Ewers 1 P 215__2000-12-20",23,19
"3478","CC1_2007__Ewers 1 P 216__2000-12-20",24,20
"3479","CC1_2007__Ewers 1 P 217__2000-12-20",19,15
"3480","CC1_2007__Ewers 1 P 218__2000-12-20",17,13
"3481","CC1_2007__Ewers 1 P 219__2000-12-20",19,15
"3482","CC1_2007__Ewers 1 P 220__2000-12-20",14,10
"3483","CC1_2007__Ewers 1 P 221__2000-12-20",15,11
"3484","CC1_2007__Ewers 1 Q 222__2000-12-20",15,11
"3485","CC1_2007__Ewers 1 Q 223__2000-12-20",22,18
"3486","CC1_2007__Ewers 1 Q 224__2000-12-20",16,12
"3487","CC1_2007__Ewers 1 Q 225__2000-12-20",12,8
"3488","CC1_2007__Ewers 1 Q 226__2000-12-20",10,6
"3489","CC1_2007__Ewers 1 R 227__2000-12-20",25,21
"3490","CC1_2007__Ewers 1 R 228__2000-12-20",22,18
"3491","CC1_2007__Ewers 1 R 229__2000-12-20",15,11
"3492","CC1_2007__Ewers 1 R 230__2000-12-20",22,18
"3493","CC1_2007__Ewers 1 R 231__2000-12-20",19,15
"3494","CC1_2007__Ewers 1 R 232__2000-12-20",13,9
"3495","CC1_2007__Ewers 1 R 233__2000-12-20",14,10
"3496","CC1_2008__Schon 1  10__2006-05-16",10,3
"3497","CC1_2008__Schon 1  11__2006-05-16",5,1
"3498","CC1_2008__Schon 1  12__2006-05-16",9,2
"3499","CC1_2008__Schon 1  1__2006-05-16",5,1
"3500","CC1_2008__Schon 1  2__2006-05-16",9,2
"3501","CC1_2008__Schon 1  3__2006-05-16",10,3
"3502","CC1_2008__Schon 1  4__2006-05-16",6,2
"3503","CC1_2008__Schon 1  5__2006-05-16",10,3
"3504","CC1_2008__Schon 1  6__2006-05-16",6,2
"3505","CC1_2008__Schon 1  7__2006-05-16",6,2
"3506","CC1_2008__Schon 1  8__2006-05-16",5,1
"3507","CC1_2008__Schon 1  9__2006-05-16",6,2
"3508","CC1_2008__Schon 2  10__2006-05-16",16,9
"3509","CC1_2008__Schon 2  11__2006-05-16",21,11
"3510","CC1_2008__Schon 2  12__2006-05-16",16,9
"3511","CC1_2008__Schon 2  1__2006-05-16",14,7
"3512","CC1_2008__Schon 2  2__2006-05-16",17,7
"3513","CC1_2008__Schon 2  3__2006-05-16",13,6
"3514","CC1_2008__Schon 2  4__2006-05-16",13,6
"3515","CC1_2008__Schon 2  5__2006-05-16",14,7
"3516","CC1_2008__Schon 2  6__2006-05-16",16,7
"3517","CC1_2008__Schon 2  7__2006-05-16",15,8
"3518","CC1_2008__Schon 2  8__2006-05-16",20,12
"3519","CC1_2008__Schon 2  9__2006-05-16",22,12
"3520","CC1_2010__Schon 1  10__2007-05-31",11,4
"3521","CC1_2010__Schon 1  11__2007-05-31",12,5
"3522","CC1_2010__Schon 1  12__2007-05-31",10,3
"3523","CC1_2010__Schon 1  13__2007-05-31",11,4
"3524","CC1_2010__Schon 1  14__2007-05-31",9,2
"3525","CC1_2010__Schon 1  15__2007-05-31",10,3
"3526","CC1_2010__Schon 1  16__2007-05-31",9,2
"3527","CC1_2010__Schon 1  17__2007-05-31",9,2
"3528","CC1_2010__Schon 1  18__2007-05-31",10,3
"3529","CC1_2010__Schon 1  19__2007-05-31",10,3
"3530","CC1_2010__Schon 1  1__2007-05-31",14,7
"3531","CC1_2010__Schon 1  20__2007-05-31",9,2
"3532","CC1_2010__Schon 1  2__2007-05-31",14,7
"3533","CC1_2010__Schon 1  3__2007-05-31",13,6
"3534","CC1_2010__Schon 1  4__2007-05-31",12,5
"3535","CC1_2010__Schon 1  5__2007-05-31",12,5
"3536","CC1_2010__Schon 1  6__2007-05-31",9,2
"3537","CC1_2010__Schon 1  7__2007-05-31",13,6
"3538","CC1_2010__Schon 1  8__2007-05-31",11,4
"3539","CC1_2010__Schon 1  9__2007-05-31",10,3
"3540","CC1_2010__Schon 2  10__2007-07-02",12,3
"3541","CC1_2010__Schon 2  11__2007-05-31",12,3
"3542","CC1_2010__Schon 2  12__2007-05-31",12,3
"3543","CC1_2010__Schon 2  13__2007-05-31",15,4
"3544","CC1_2010__Schon 2  14__2007-05-31",12,3
"3545","CC1_2010__Schon 2  15__2007-05-31",12,3
"3546","CC1_2010__Schon 2  16__2007-05-31",12,3
"3547","CC1_2010__Schon 2  17__2007-05-31",9,2
"3548","CC1_2010__Schon 2  18__2007-05-31",12,3
"3549","CC1_2010__Schon 2  19__2007-05-31",12,3
"3550","CC1_2010__Schon 2  1__2007-07-02",12,3
"3551","CC1_2010__Schon 2  20__2007-05-31",5,1
"3552","CC1_2010__Schon 2  2__2007-07-02",5,1
"3553","CC1_2010__Schon 2  3__2007-07-02",12,3
"3554","CC1_2010__Schon 2  4__2007-07-02",9,2
"3555","CC1_2010__Schon 2  5__2007-07-02",12,3
"3556","CC1_2010__Schon 2  6__2007-07-02",12,3
"3557","CC1_2010__Schon 2  7__2007-07-02",9,2
"3558","CC1_2010__Schon 2  8__2007-07-02",12,3
"3559","CC1_2010__Schon 2  9__2007-07-02",12,3
"3560","CC1_2010__Schon 3  10__2007-05-31",20,11
"3561","CC1_2010__Schon 3  11__2007-05-31",23,15
"3562","CC1_2010__Schon 3  12__2007-05-31",20,12
"3563","CC1_2010__Schon 3  13__2007-05-31",24,15
"3564","CC1_2010__Schon 3  14__2007-05-31",23,13
"3565","CC1_2010__Schon 3  15__2007-05-31",20,12
"3566","CC1_2010__Schon 3  16__2007-05-31",20,12
"3567","CC1_2010__Schon 3  1__2007-05-31",19,11
"3568","CC1_2010__Schon 3  2__2007-05-31",20,11
"3569","CC1_2010__Schon 3  3__2007-05-31",24,15
"3570","CC1_2010__Schon 3  4__2007-05-31",21,12
"3571","CC1_2010__Schon 3  5__2007-05-31",19,11
"3572","CC1_2010__Schon 3  6__2007-05-31",20,11
"3573","CC1_2010__Schon 3  7__2007-05-31",18,10
"3574","CC1_2010__Schon 3  8__2007-05-31",23,14
"3575","CC1_2010__Schon 3  9__2007-05-31",21,12
"3576","CC1_2012__Barratt 1  1__2002-07-09",22,18
"3577","CC1_2012__Barratt 1  2__2002-01-07",28,24
"3578","CC1_2012__Barratt 2 A 1__2003-07-19",16,12
"3579","CC1_2012__Barratt 2 A 2__2003-07-20",17,13
"3580","CC1_2012__Barratt 2 B 3__2003-07-24",11,7
"3581","CC1_2012__Barratt 2 B 4__2003-07-24",14,10
"3582","CC1_2012__Barratt 2 C 5__2002-08-06",11,7
"3583","CC1_2012__Barratt 2 C 6__2003-09-03",11,7
"3584","CC1_2012__Barratt 2 C 7__2003-09-03",11,7
"3585","CC1_2012__Barratt 2 D 10__2003-09-02",8,4
"3586","CC1_2012__Barratt 2 D 8__2003-09-02",12,8
"3587","CC1_2012__Barratt 2 D 9__2003-09-02",17,13
"3588","CC1_2012__deSassi 1 A 1__2009-05-16",7,3
"3589","CC1_2012__deSassi 1 A 2__2009-05-16",7,3
"3590","CC1_2012__deSassi 1 B 3__2009-05-16",8,4
"3591","CC1_2012__deSassi 1 B 4__2009-05-16",8,4
"3592","CC1_2012__deSassi 1 C 5__2009-05-16",6,2
"3593","CC1_2012__deSassi 1 C 6__2009-05-16",6,2
"3594","CC1_2012__deSassi 1 D 7__2009-05-16",6,2
"3595","CC1_2012__deSassi 1 D 8__2009-05-16",6,2
"3596","CC1_2012__deSassi 1 E 10__2009-05-16",6,2
"3597","CC1_2012__deSassi 1 E 9__2009-05-16",7,3
"3598","CC1_2012__deSassi 1 F 11__2009-05-16",6,2
"3599","CC1_2012__deSassi 1 F 12__2009-05-16",6,2
"3600","CC1_2012__deSassi 1 G 13__2009-05-16",7,3
"3601","CC1_2012__deSassi 1 G 14__2009-05-16",6,2
"3602","CC1_2012__deSassi 1 H 15__2009-05-16",6,2
"3603","CC1_2012__deSassi 1 H 16__2009-05-16",6,2
"3604","CC1_2012__deSassi 1 I 17__2009-05-16",6,2
"3605","CC1_2012__deSassi 1 I 18__2009-05-16",6,2
"3606","CC1_2012__deSassi 1 J 19__2009-05-16",6,2
"3607","CC1_2012__deSassi 1 J 20__2009-05-16",6,2
"3608","CC1_2012__deSassi 1 K 21__2009-05-16",6,2
"3609","CC1_2012__deSassi 1 K 22__2009-05-16",6,2
"3610","CC1_2012__deSassi 1 L 23__2009-05-16",6,2
"3611","CC1_2012__deSassi 1 L 24__2009-05-16",6,2
