sample_id,phylo_div,SR
AD1_2006__Diekoetter 1  64__2001-07-16,5,1
AD1_2006__Diekoetter 1  65__2001-07-16,5,1
AD1_2006__Diekoetter 1  66__2001-07-16,5,1
AD1_2006__Diekoetter 1  67__2001-07-16,5,1
AD1_2006__Diekoetter 1  69__2001-07-16,5,1
AD1_2006__Diekoetter 1  6__2001-07-16,5,1
AD1_2006__Diekoetter 1  70__2001-07-16,5,1
AD1_2006__Diekoetter 1  71__2001-07-16,5,1
AD1_2006__Diekoetter 1  72__2001-07-16,5,1
AD1_2006__Diekoetter 1  73__2001-07-16,5,1
AD1_2006__Diekoetter 1  74__2001-07-16,5,1
AD1_2006__Diekoetter 1  75__2001-07-16,5,1
AD1_2006__Diekoetter 1  76__2001-07-16,5,1
AD1_2006__Diekoetter 1  78__2001-07-16,5,1
AD1_2006__Diekoetter 1  79__2001-07-16,5,1
AD1_2006__Diekoetter 1  80__2001-07-16,5,1
AD1_2006__Diekoetter 1  81__2001-07-16,5,1
AD1_2006__Diekoetter 1  83__2001-07-16,5,1
AD1_2006__Diekoetter 1  84__2001-07-16,5,1
AD1_2006__Diekoetter 1  85__2001-07-16,5,1
AD1_2006__Diekoetter 1  87__2001-07-16,5,1
AD1_2006__Diekoetter 1  88__2001-07-16,5,1
AD1_2006__Diekoetter 1  90__2001-07-16,5,1
AD1_2006__Diekoetter 1  93__2001-07-16,5,1
AD1_2006__Diekoetter 1  94__2001-07-16,5,1
AD1_2006__Diekoetter 1  95__2001-07-16,5,1
AD1_2006__Diekoetter 1  96__2001-07-16,5,1
AD1_2006__Diekoetter 1  99__2001-07-16,5,1
AD1_2006__Diekoetter 1  9__2001-07-16,5,1
AD1_2006__Marshall 1 A 1__2003-06-21,5,1
AD1_2006__Marshall 1 A 22__2003-06-21,5,1
AD1_2006__Marshall 1 B 23__2003-06-21,5,1
AD1_2006__Marshall 1 B 2__2003-06-21,5,1
AD1_2006__Marshall 1 C 24__2003-06-21,5,1
AD1_2006__Marshall 1 C 3__2003-06-21,6,2
AD1_2006__Marshall 1 D 25__2003-06-21,5,1
AD1_2006__Marshall 1 D 4__2003-06-21,5,1
AD1_2006__Marshall 1 E 26__2003-06-21,7,3
AD1_2006__Marshall 1 E 5__2003-06-21,5,1
AD1_2006__Marshall 1 F 27__2003-06-21,6,2
AD1_2006__Marshall 1 F 6__2003-06-21,5,1
AD1_2006__Marshall 1 G 29__2003-06-21,5,1
AD1_2006__Marshall 1 G 8__2003-06-21,5,1
AD1_2006__Marshall 1 H 30__2003-06-21,5,1
AD1_2006__Marshall 1 H 9__2003-06-21,5,1
AD1_2006__Marshall 1 J 10__2003-06-21,5,1
AD1_2006__Marshall 1 J 31__2003-06-21,5,1
AD1_2006__Marshall 1 K 11__2003-06-21,5,1
AD1_2006__Marshall 1 K 32__2003-06-21,5,1
AD1_2006__Marshall 1 L 28__2003-06-21,5,1
AD1_2006__Marshall 1 L 7__2003-06-21,5,1
AD1_2006__Marshall 1 M 12__2003-06-21,6,2
AD1_2006__Marshall 1 M 33__2003-06-21,6,2
AD1_2006__Marshall 1 N 15__2003-06-21,5,1
AD1_2006__Marshall 1 N 36__2003-06-21,5,1
AD1_2006__Marshall 1 P 16__2003-06-21,5,1
AD1_2006__Marshall 1 P 37__2003-06-21,6,2
AD1_2006__Marshall 1 Q 17__2003-06-21,5,1
AD1_2006__Marshall 1 Q 38__2003-06-21,5,1
AD1_2006__Marshall 1 R 13__2003-06-21,5,1
AD1_2006__Marshall 1 R 34__2003-06-21,5,1
AD1_2006__Marshall 1 S 18__2003-06-21,5,1
AD1_2006__Marshall 1 S 39__2003-06-21,5,1
AD1_2006__Marshall 1 T 19__2003-06-21,7,3
AD1_2006__Marshall 1 T 40__2003-06-21,6,2
AD1_2006__Marshall 1 U 14__2003-06-21,6,2
AD1_2006__Marshall 1 U 35__2003-06-21,6,2
AD1_2006__Marshall 1 V 20__2003-06-21,7,3
AD1_2006__Marshall 1 V 41__2003-06-21,5,1
AD1_2006__Marshall 1 W 21__2003-06-21,5,1
AD1_2006__Marshall 2 B 2__2003-06-21,5,1
AD1_2006__Marshall 2 C 24__2003-06-21,5,1
AD1_2006__Marshall 2 E 26__2003-06-21,6,2
AD1_2006__Marshall 2 R 34__2003-06-21,5,1
AD1_2006__Marshall 2 S 18__2003-06-21,5,1
AD1_2006__Marshall 2 U 35__2003-06-21,5,1
AD1_2006__Marshall 2 W 21__2003-06-21,5,1
AD1_2006__McFrederick 1  10__2003-05-31,5,1
AD1_2006__McFrederick 1  11__2003-05-31,5,1
AD1_2006__McFrederick 1  12__2003-05-31,5,1
AD1_2006__McFrederick 1  13__2003-05-31,5,1
AD1_2006__McFrederick 1  14__2003-05-31,5,1
AD1_2006__McFrederick 1  15__2003-05-31,5,1
AD1_2006__McFrederick 1  16__2003-05-31,5,1
AD1_2006__McFrederick 1  17__2003-05-31,5,1
AD1_2006__McFrederick 1  18__2003-05-31,5,1
AD1_2006__McFrederick 1  19__2003-05-31,5,1
AD1_2006__McFrederick 1  1__2003-05-31,5,1
AD1_2006__McFrederick 1  20__2003-05-31,5,1
AD1_2006__McFrederick 1  2__2003-05-31,5,1
AD1_2006__McFrederick 1  3__2003-05-31,5,1
AD1_2006__McFrederick 1  4__2003-05-31,5,1
AD1_2006__McFrederick 1  5__2003-05-31,5,1
AD1_2006__McFrederick 1  6__2003-05-31,5,1
AD1_2006__McFrederick 1  7__2003-05-31,5,1
AD1_2006__McFrederick 1  8__2003-05-31,5,1
AD1_2006__McFrederick 1  9__2003-05-31,5,1
AD1_2006__McFrederick 2  10__2004-05-01,5,1
AD1_2006__McFrederick 2  11__2004-05-01,5,1
AD1_2006__McFrederick 2  12__2004-05-01,5,1
AD1_2006__McFrederick 2  13__2004-05-01,5,1
AD1_2006__McFrederick 2  14__2004-05-01,5,1
AD1_2006__McFrederick 2  15__2004-05-01,5,1
AD1_2006__McFrederick 2  16__2004-05-01,5,1
AD1_2006__McFrederick 2  17__2004-05-01,5,1
AD1_2006__McFrederick 2  18__2004-05-01,5,1
AD1_2006__McFrederick 2  19__2004-05-01,5,1
AD1_2006__McFrederick 2  1__2004-05-01,5,1
AD1_2006__McFrederick 2  20__2004-05-01,5,1
AD1_2006__McFrederick 2  2__2004-05-01,5,1
AD1_2006__McFrederick 2  3__2004-05-01,5,1
AD1_2006__McFrederick 2  4__2004-05-01,5,1
AD1_2006__McFrederick 2  5__2004-05-01,5,1
AD1_2006__McFrederick 2  6__2004-05-01,5,1
AD1_2006__McFrederick 2  7__2004-05-01,5,1
