GENUS_SPECIES,taxonomic_class
Cercyon unipunctatus,Insecta
Chionodes electella,Insecta
Cidaria fulvata,Insecta
Clepsis consimilana,Insecta
Cnephasia asseclana,Insecta
Coleophora ibipennella,Insecta
Coleophora saxicolella,Insecta
Cosmia trapezina,Insecta
Crambus perlella,Insecta
Crassa unitella,Insecta
Cucullia absinthii,Insecta
Cydia funebrana,Insecta
Cyphon coarctatus,Insecta
Depressaria depressana,Insecta
Diachrysia chrysitis,Insecta
Diarsia florida,Insecta
Dichrorampha alpinana,Insecta
Dipleurina lacustrata,Insecta
Ditula angustiorana,Insecta
Dryocoetes autographus,Insecta
Ennomos quercinaria,Insecta
Epinotia nanana,Insecta
Ernobius mollis,Insecta
Eucosma cana,Insecta
Evergestis limbata,Insecta
Gypsonoma dealbana,Insecta
Gypsonoma minutana,Insecta
Habrosyne pyritoides,Insecta
Hecatera bicolorata,Insecta
Hedya ochroleucana,Insecta
Hemithea aestivaria,Insecta
Hoplodrina blanda,Insecta
Hylaea fasciaria,Insecta
Lobesia abscisana,Insecta
Macaria liturata,Insecta
Mesapamea didyma,Insecta
Mythimna ferrago,Insecta
Mythimna impura,Insecta
Oligia strigilis,Insecta
Ophonus rufibarbis,Insecta
Ourapteryx sambucaria,Insecta
Pandemis heparana,Insecta
Perizoma alchemilliata,Insecta
Pexicopia malvella,Insecta
Phalera bucephala,Insecta
Phyllocnistis unipunctella,Insecta
Phyllonorycter blancardella,Insecta
Polia bombycina,Insecta
Ptycholomoides aeriferana,Insecta
Recurvaria leucatella,Insecta
Serica brunnea,Insecta
Serropalpus barbatus,Insecta
Sitochroa verticalis,Insecta
Spilonota ocellana,Insecta
Stenolophus mixtus,Insecta
Teleiodes vulgella,Insecta
Yponomeuta evonymella,Insecta
Zanclognatha tarsipennalis,Insecta
Zeuzera pyrina,Insecta
Achroia grisella,Insecta
Acleris forskaleana,Insecta
Acupalpus consputus,Insecta
Alcis repandata,Insecta
Aloconota gregaria,Insecta
Amara bifrons,Insecta
Amara convexiuscula,Insecta
Amphipoea fucosa,Insecta
Anthicus floralis,Insecta
Argyresthia goedartella,Insecta
Argyresthia pruniella,Insecta
Atheta fungi,Insecta
Atheta laticollis,Insecta
Atomaria lewisi,Insecta
Atomaria linearis,Insecta
Bembidion quadrimaculatum,Insecta
Bena prasinana,Insecta
Brachyusa concolor,Insecta
Carpelimus corticinus,Insecta
Cercyon bifenestratus,Insecta
Cercyon lateralis,Insecta
Cercyon quisquilius,Insecta
Cercyon tristis,Insecta
Chloroclysta truncata,Insecta
Cnephasia genitalana,Insecta
Cnephasia stephensiana,Insecta
Coleophora adspersella,Insecta
Coleophora atriplicis,Insecta
Coleophora kuehnella,Insecta
Coleophora serratella,Insecta
Coleophora sternipennella,Insecta
Cortinicara gibbosa,Insecta
Cydia splendana,Insecta
Cymolomia hartigiana,Insecta
Ectoedemia decentella,Insecta
Eupithecia haworthiata,Insecta
Eupithecia tenuiata,Insecta
Haliplus immaculatus,Insecta
Harpalus rufipes,Insecta
Hedya salicella,Insecta
Helophorus aequalis,Insecta
Helophorus brevipalpis,Insecta
Helophorus griseus,Insecta
Heterocerus obsoletus,Insecta
Hydrobius fuscipes,Insecta
Hygrotus inaequalis,Insecta
Lomaspilis marginata,Insecta
Malthinus frontalis,Insecta
Mesoligia furuncula,Insecta
Monotoma picipes,Insecta
Noctua comes,Insecta
Noctua janthe,Insecta
Nola cuculatella,Insecta
Nyctegretis lineana,Insecta
Ortholepis betulae,Insecta
Parastichtis suspecta,Insecta
Philhygra elongatula,Insecta
Philonthus quisquiliarius,Insecta
Phyllonorycter salictella,Insecta
Platytes alpinella,Insecta
Plemyria rubiginata,Insecta
Pleuroptya ruralis,Insecta
Prionychus ater,Insecta
Recurvaria nanella,Insecta
Rhagonycha fulva,Insecta
Rhopobota naevana,Insecta
Soronia grisea,Insecta
Stegobium paniceum,Insecta
Teleiodes saltuum,Insecta
Tenebrio molitor,Insecta
Thinonoma atra,Insecta
Trechus discus,Insecta
Trechus quadristriatus,Insecta
Acleris holmiana,Insecta
Acronicta leporina,Insecta
Anarsia lineatella,Insecta
Anerastia lotella,Insecta
Argyresthia glaucinella,Insecta
Batia lunaris,Insecta
Batrachedra praeangusta,Insecta
Calathus erratus,Insecta
Catoptria margaritella,Insecta
Cedestis gysselinella,Insecta
Cerapteryx graminis,Insecta
Chionodes fumatella,Insecta
Chloroclystis v-ata,Insecta
Conobathra repandana,Insecta
Cosmiotes freyerella,Insecta
Cydia medicaginis,Insecta
Dichrorampha petiverella,Insecta
Ectoedemia sericopeza,Insecta
Eidophasia messingiella,Insecta
Epiblema foenella,Insecta
Epinotia bilunana,Insecta
Epinotia tenerana,Insecta
Eudemis profundana,Insecta
Eupithecia lariciata,Insecta
Gelechia nigra,Insecta
Gelechia sororculella,Insecta
Gypsonoma oppressana,Insecta
Lymantria monacha,Insecta
Malacasoma castrensis,Bryopsida
Orthopygia glaucinalis,Insecta
Pammene fasciana,Insecta
Pelosia muscerda,Insecta
Philonthus binotatus,Insecta
Phragmatobia fuliginosa,Insecta
Phyllonorycter strigulatella,Insecta
Psoricoptera gibbosella,Insecta
Simyra albovenosa,Insecta
Spilonota laricana,Insecta
Stigmella atricapitella,Insecta
Yponomeuta cagnagella,Insecta
Yponomeuta padella,Insecta
Autographa pulchrina,Insecta
Celypha rufana,Insecta
Cercyon laminatus,Insecta
Chionodes tragicella,Insecta
Coleophora anatipennella,Insecta
Coleophora versurella,Insecta
