Unnamed: 0,GENUS_SPECIES,taxonomic_class
1,Acer rubrum,Magnoliopsida
2,Acer saccharum,Magnoliopsida
3,Acer spicatum,Magnoliopsida
4,Corylus cornuta,Magnoliopsida
5,Populus pinnata,Magnoliopsida
6,Toxicodendron radicans,Magnoliopsida
7,Diervilla lonicera,Magnoliopsida
8,Cornus rugosa,Magnoliopsida
9,Prunus virginiana,Magnoliopsida
10,Rubus flagellaris,Magnoliopsida
11,Viburnum rafinesquianum,Magnoliopsida
12,Quercus rubra,Magnoliopsida
13,Vaccinium angustifolium,Magnoliopsida
14,Pinus strobus,Pinopsida
15,Ostrya virginiana,Magnoliopsida
