GENUS_SPECIES,taxonomic_class
Caranx crysos,Actinopteri
Ophidion marginatum,Actinopteri
Symphurus urospilus,Actinopteri
Symphurus minor,Actinopteri
Pontinus rathbuni,Actinopteri
Archosargus probatocephalus,Actinopteri
Idiacanthus fasciola,Actinopteri
Lachnolaimus maximus,Actinopteri
Lagocephalus laevigatus,Actinopteri
Larimus fasciatus,Actinopteri
Nettastomidae ,Actinopterygii
Ogcocephalus corniger,Actinopteri
Lepophidium jeannae,Actinopteri
Ophichthus ocellatus,Actinopteri
Gnathophis bracheatopos,Actinopteri
Opistognathus lonchurus,Actinopteri
Pareques blackbar,Actinopteri
Pristipomoides aquilonaris,Actinopteri
Schultzea beta,Actinopteri
Scorpaena dispar,Actinopteri
Symphurus parvus,Actinopteri
Antennarius ocellatus,Actinopteri
Caulolatilus cyanops,Actinopteri
Citharichthys gymnorhinus,Aves
Epinephelus niveatus,Actinopteri
Monacanthus tuckeri,Actinopteri
Nicholsina usta,Actinopteri
Paraconger caudilimbatus,Actinopteri
Priacanthidae ,Actinopteri
Saurida brasiliensis,Actinopteri
Scorpaena agassizii,Actinopteri
Cosmocampus albirostris,Actinopteri
Diplogrammus pauciradiatus,Actinopteri
Hemiramphus brasiliensis,Actinopteri
Hippocampus erectus,Actinopteri
Ariopsis felis,Actinopteri
Chloroscombrus chrysurus,Actinopteri
Leiostomus xanthurus,Actinopteri
Anchoa cubana,Actinopteri
Anguilliformes ,Actinopteri
Dasyatis americana,Chondrichthyes
Etropus crossotus,Actinopteri
Eucinostomus gula,Actinopteri
Lepidochelys kempii,Reptilia
Ophichthus melanoporus,Actinopteri
Ariomma bondi,Actinopteri
Ophichthus gomesii,Actinopteri
Zenopsis conchifera,Actinopteri
Congridae ,Actinopteri
Sphyraena borealis,Actinopteri
Chilomycterus schoepfii,Actinopteri
Ancylopsetta dilecta,Actinopteri
Synagrops spinosus,Actinopteri
Bellator brachychir,Actinopteri
Prionotus tribulus,Actinopteri
Rypticus bistrispinus,Actinopteri
Monacanthus ciliatus,Actinopteri
Anchoviella perfasciata,Actinopteri
Eucinostomus argenteus,Actinopteri
Opisthonema oglinum,Actinopteri
Hypsoblennius hentz,Actinopteri
Parablennius marmoreus,Actinopteri
Paralichthys lethostigma,Actinopteri
Echeneis neucratoides,Actinopteri
Myliobatis freminvillei,Chondrichthyes
Symphurus diomedeanus,Actinopteri
Diaphus dumerilii,Actinopteri
Ariomma melanum,Actinopteri
Bregmaceros atlanticus,Actinopteri
Rossia tenera,Bacillariophyceae
Caelorinchus caelorhinchus,Actinopteri
Fenestraja plutonia,Gastropoda
Merluccius albidus,Actinopteri
Argentinidae ,Actinopteri
Linophrynidae ,Actinopteri
Poecilopsetta beanii,Actinopteri
Maurolicus muelleri,Actinopteri
Citharichthys dinoceros,Actinopteri
Saurida normani,Actinopteri
Anarchias similis,Actinopteri
Acanthostracion polygonius,Actinopteri
Holacanthus ciliaris,Actinopteri
Lythrypnus nesiotes,Actinopteri
Risor ruber,Actinopteri
Starksia ocellata,Actinopteri
Gymnothorax moringa,Actinopteri
Holocentrus ascensionis,Actinopteri
Chaetodon striatus,Actinopteri
Pomacanthus paru,Actinopteri
Opsanus pardus,Actinopteri
Carcharhinidae ,Chondrichthyes
Cynoscion regalis,Actinopteri
Pomatomus saltatrix,Actinopteri
Scophthalmus aquosus,Actinopteri
Serraniculus pumilio,Actinopteri
Equetus acuminatus,Actinopteri
Astroscopus y-graecum,Actinopteri
Caranx hippos,Actinopteri
Dasyatis say,Chondrichthyes
Gobiesox strumosus,Actinopteri
Anchoa hepsetus,Actinopteri
Micropogonias undulatus,Actinopteri
Peprilus alepidotus,Actinopteri
Ophidiidae ,Actinopteri
Rhinobatos lentiginosus,Chondrichthyes
Opsanus tau,Actinopteri
Selene vomer,Actinopteri
Apogon affinis,Actinopteri
Sargocentron bullsi,Actinopteri
Serranus subligarius,Actinopteri
Dasyatis sabina,Chondrichthyes
Mustelus canis,Chondrichthyes
Mycteroperca phenax,Actinopteri
Ogcocephalus rostellum,Actinopteri
Cryptotomus roseus,Actinopteri
Engraulidae ,Actinopteri
Fistularia tabacaria,Actinopteri
Halichoeres bivittatus,Actinopteri
Narcine brasiliensis,Chondrichthyes
Selene setapinnis,Actinopteri
Menticirrhus saxatilis,Actinopteri
Haemulon plumieri,Actinopteri
Mycteroperca microlepis,Actinopteri
Dactylopterus volitans,Actinopteri
Calamus proridens,Actinopteri
Lutjanus buccanella,Actinopteri
Epigonus macrops,Actinopteri
Carangidae ,Actinopteri
Laemonema barbatulum,Actinopteri
Carcharhinus porosus,Chondrichthyes
Microgobius thalassinus,Actinopteri
Parahollardia lineata,Actinopteri
Myripristis jacobus,Actinopteri
Chilomycterus atringa,Actinopteri
Halichoeres caudalis,Actinopteri
Canthigaster rostrata,Actinopteri
Pseudupeneus maculatus,Actinopteri
