AEZ,cluster_within_aez,n_sites,max_dist_to_medoid,method,cluster_id
AEZ2,3,16,2328.2442106189683,CLARA,AEZ2_CLARA_3
AEZ14,6,19,7117.131716330265,CLARA,AEZ14_CLARA_6
AEZ7,1,12,5536.331484104864,CLARA,AEZ7_CLARA_1
AEZ7,2,12,4001.2026591673625,CLARA,AEZ7_CLARA_2
AEZ7,11,19,2849.7297960044025,CLARA,AEZ7_CLARA_11
AEZ7,16,2,10122.891712505405,CLARA,AEZ7_CLARA_16
AEZ7,24,4,19158.760894177205,CLARA,AEZ7_CLARA_24
AEZ7,25,4,2277.7842836104446,CLARA,AEZ7_CLARA_25
AEZ7,26,2,1237.5331032124363,CLARA,AEZ7_CLARA_26
AEZ7,41,3,16922.698758531653,CLARA,AEZ7_CLARA_41
AEZ16,4,2,13434.533107807913,CLARA,AEZ16_CLARA_4
AEZ16,5,52,9882.513257436167,CLARA,AEZ16_CLARA_5
AEZ16,6,20,2991.112315229106,CLARA,AEZ16_CLARA_6
AEZ16,7,19,1560.8229854547076,CLARA,AEZ16_CLARA_7
AEZ16,8,15,2628.9466547689253,CLARA,AEZ16_CLARA_8
AEZ16,10,15,12324.915549294647,CLARA,AEZ16_CLARA_10
AEZ16,11,8,2345.99709429205,CLARA,AEZ16_CLARA_11
AEZ8,2,8,3447.8228595007854,CLARA,AEZ8_CLARA_2
AEZ8,3,7,5603.5329725338725,CLARA,AEZ8_CLARA_3
AEZ8,4,6,3006.0412652976,CLARA,AEZ8_CLARA_4
AEZ8,5,6,1767.4781603817826,CLARA,AEZ8_CLARA_5
AEZ8,6,9,2771.3010030564296,CLARA,AEZ8_CLARA_6
AEZ8,23,14,6428.297100800233,CLARA,AEZ8_CLARA_23
AEZ8,24,9,3686.651504857712,CLARA,AEZ8_CLARA_24
AEZ8,25,7,3171.3488484362224,CLARA,AEZ8_CLARA_25
AEZ8,26,7,7325.7585407329625,CLARA,AEZ8_CLARA_26
AEZ8,38,2,14527.689490573846,CLARA,AEZ8_CLARA_38
AEZ8,42,2,8852.787341945792,CLARA,AEZ8_CLARA_42
AEZ8,43,3,4186.302456672221,CLARA,AEZ8_CLARA_43
AEZ8,45,2,9724.11242664762,CLARA,AEZ8_CLARA_45
AEZ8,52,10,7619.551806543196,CLARA,AEZ8_CLARA_52
AEZ8,53,4,10373.504935997064,CLARA,AEZ8_CLARA_53
AEZ8,55,4,11271.20613734747,CLARA,AEZ8_CLARA_55
AEZ8,57,3,2915.9987700374922,CLARA,AEZ8_CLARA_57
AEZ8,59,2,8385.899451976027,CLARA,AEZ8_CLARA_59
AEZ8,65,2,13537.870655713075,CLARA,AEZ8_CLARA_65
AEZ8,66,3,13185.21157018126,CLARA,AEZ8_CLARA_66
AEZ8,68,2,17916.033797824304,CLARA,AEZ8_CLARA_68
AEZ8,69,5,6612.927591628842,CLARA,AEZ8_CLARA_69
AEZ8,71,2,3331.9210841916542,CLARA,AEZ8_CLARA_71
AEZ8,74,4,6647.403995840742,CLARA,AEZ8_CLARA_74
AEZ8,77,4,7387.184720876668,CLARA,AEZ8_CLARA_77
AEZ8,89,3,12845.75679448695,CLARA,AEZ8_CLARA_89
AEZ4,5,21,19959.977465624084,CLARA,AEZ4_CLARA_5
AEZ4,6,10,7104.246765180898,CLARA,AEZ4_CLARA_6
