AEZ,cluster_within_aez,n_sites,max_dist_to_medoid,method,cluster_id
AEZ2,3,16,2328.2442106189683,CLARA,AEZ2_CLARA_3
AEZ14,5,19,7117.131716330265,CLARA,AEZ14_CLARA_5
AEZ7,1,12,5536.331484104864,CLARA,AEZ7_CLARA_1
AEZ7,2,12,4001.2026591673625,CLARA,AEZ7_CLARA_2
AEZ7,11,19,2849.7297960044025,CLARA,AEZ7_CLARA_11
AEZ7,16,2,10122.891712505405,CLARA,AEZ7_CLARA_16
AEZ7,24,4,19158.760894177205,CLARA,AEZ7_CLARA_24
AEZ7,25,6,20146.17189186282,CLARA,AEZ7_CLARA_25
AEZ7,26,2,1237.5331032124363,CLARA,AEZ7_CLARA_26
AEZ7,39,3,16922.698758531653,CLARA,AEZ7_CLARA_39
AEZ16,3,4,24017.257849030382,CLARA,AEZ16_CLARA_3
AEZ16,4,72,10137.444749126336,CLARA,AEZ16_CLARA_4
AEZ16,5,27,3727.7391639812226,CLARA,AEZ16_CLARA_5
AEZ16,6,15,2628.9466547689253,CLARA,AEZ16_CLARA_6
AEZ16,8,15,12324.915549294647,CLARA,AEZ16_CLARA_8
AEZ16,9,12,14284.493464839996,CLARA,AEZ16_CLARA_9
AEZ8,2,8,3447.8228595007854,CLARA,AEZ8_CLARA_2
AEZ8,3,7,5603.5329725338725,CLARA,AEZ8_CLARA_3
AEZ8,4,12,5246.14477828484,CLARA,AEZ8_CLARA_4
AEZ8,5,9,2771.3010030564296,CLARA,AEZ8_CLARA_5
AEZ8,21,14,6428.297100800233,CLARA,AEZ8_CLARA_21
AEZ8,22,9,3686.651504857712,CLARA,AEZ8_CLARA_22
AEZ8,23,7,3171.3488484362224,CLARA,AEZ8_CLARA_23
AEZ8,24,7,7325.7585407329625,CLARA,AEZ8_CLARA_24
AEZ8,36,2,14527.689490573846,CLARA,AEZ8_CLARA_36
AEZ8,40,3,12670.477399609457,CLARA,AEZ8_CLARA_40
AEZ8,41,3,4186.302456672221,CLARA,AEZ8_CLARA_41
AEZ8,43,3,21352.690509298838,CLARA,AEZ8_CLARA_43
AEZ8,44,4,24235.26844742643,CLARA,AEZ8_CLARA_44
AEZ8,49,10,7619.551806543196,CLARA,AEZ8_CLARA_49
AEZ8,50,4,10373.504935997064,CLARA,AEZ8_CLARA_50
AEZ8,51,2,21777.910945028318,CLARA,AEZ8_CLARA_51
AEZ8,52,4,11271.20613734747,CLARA,AEZ8_CLARA_52
AEZ8,55,2,8385.899451976027,CLARA,AEZ8_CLARA_55
AEZ8,61,2,13537.870655713075,CLARA,AEZ8_CLARA_61
AEZ8,62,4,24958.446283513636,CLARA,AEZ8_CLARA_62
AEZ8,64,2,17916.033797824304,CLARA,AEZ8_CLARA_64
AEZ8,65,5,6612.927591628842,CLARA,AEZ8_CLARA_65
AEZ8,67,4,17089.10332556816,CLARA,AEZ8_CLARA_67
AEZ8,70,4,6647.403995840742,CLARA,AEZ8_CLARA_70
AEZ8,72,4,7387.184720876668,CLARA,AEZ8_CLARA_72
AEZ8,74,2,22577.49617736234,CLARA,AEZ8_CLARA_74
AEZ4,5,21,19959.977465624084,CLARA,AEZ4_CLARA_5
AEZ4,6,10,7104.246765180898,CLARA,AEZ4_CLARA_6
AEZ4,7,11,4758.910107939739,CLARA,AEZ4_CLARA_7
AEZ4,8,9,4236.7214786571385,CLARA,AEZ4_CLARA_8
AEZ4,34,3,1378.9677960247864,CLARA,AEZ4_CLARA_34
AEZ4,35,3,265.0191214678597,CLARA,AEZ4_CLARA_35
AEZ4,36,5,3009.7355914929535,CLARA,AEZ4_CLARA_36
AEZ4,37,3,852.4037626084861,CLARA,AEZ4_CLARA_37
AEZ4,39,4,1565.3131655137815,CLARA,AEZ4_CLARA_39
AEZ4,41,2,633.2332956524615,CLARA,AEZ4_CLARA_41
AEZ3,9,18,5003.097572977446,CLARA,AEZ3_CLARA_9
AEZ3,15,8,5133.919584720451,CLARA,AEZ3_CLARA_15
AEZ3,16,13,3541.50796145414,CLARA,AEZ3_CLARA_16
AEZ3,17,10,7011.101310294522,CLARA,AEZ3_CLARA_17
AEZ3,18,16,10018.175434965624,CLARA,AEZ3_CLARA_18
AEZ3,19,17,5809.286433044792,CLARA,AEZ3_CLARA_19
AEZ3,20,7,3932.9385908416957,CLARA,AEZ3_CLARA_20
AEZ3,21,6,9390.702077940681,CLARA,AEZ3_CLARA_21
AEZ3,22,12,10315.417348183944,CLARA,AEZ3_CLARA_22
AEZ3,23,6,10709.804959229972,CLARA,AEZ3_CLARA_23
AEZ3,24,6,8001.8907233355685,CLARA,AEZ3_CLARA_24
AEZ3,25,7,7660.979457164558,CLARA,AEZ3_CLARA_25
AEZ3,26,14,8539.130315590424,CLARA,AEZ3_CLARA_26
AEZ3,27,8,8557.541795259,CLARA,AEZ3_CLARA_27
AEZ3,28,4,4098.5461896269735,CLARA,AEZ3_CLARA_28
AEZ3,29,4,6372.7172696567695,CLARA,AEZ3_CLARA_29
AEZ3,30,4,3242.4885425289685,CLARA,AEZ3_CLARA_30
AEZ3,31,18,10354.40107321545,CLARA,AEZ3_CLARA_31
