AEZ,cluster_within_aez,n_sites,max_dist_to_medoid,method,cluster_id
AEZ2,4,16,2328.2442106189683,GRDY,AEZ2_GRDY_4
AEZ14,6,19,7117.131716330265,GRDY,AEZ14_GRDY_6
AEZ7,1,24,8541.173625501799,GRDY,AEZ7_GRDY_1
AEZ7,14,30,9917.44460232723,GRDY,AEZ7_GRDY_14
AEZ7,18,2,10122.891712505405,GRDY,AEZ7_GRDY_18
AEZ7,27,3,7129.681433445074,GRDY,AEZ7_GRDY_27
AEZ7,28,4,2277.7842836104446,GRDY,AEZ7_GRDY_28
AEZ7,29,2,1237.5331032124363,GRDY,AEZ7_GRDY_29
AEZ16,6,72,10151.565878450687,GRDY,AEZ16_GRDY_6
AEZ16,7,42,9961.851732875264,GRDY,AEZ16_GRDY_7
AEZ16,9,15,12324.915549294647,GRDY,AEZ16_GRDY_9
AEZ8,2,23,12464.170149401867,GRDY,AEZ8_GRDY_2
AEZ8,3,13,4455.264923860391,GRDY,AEZ8_GRDY_3
AEZ8,20,30,8806.621605085886,GRDY,AEZ8_GRDY_20
AEZ8,21,7,7325.7585407329625,GRDY,AEZ8_GRDY_21
AEZ8,36,2,8852.787341945792,GRDY,AEZ8_GRDY_36
AEZ8,37,3,4186.302456672221,GRDY,AEZ8_GRDY_37
AEZ8,39,2,9724.11242664762,GRDY,AEZ8_GRDY_39
AEZ8,46,16,11867.539978116243,GRDY,AEZ8_GRDY_46
AEZ8,47,4,10373.504935997064,GRDY,AEZ8_GRDY_47
AEZ8,50,4,11271.20613734747,GRDY,AEZ8_GRDY_50
AEZ8,52,3,2915.9987700374922,GRDY,AEZ8_GRDY_52
AEZ8,54,2,8385.899451976027,GRDY,AEZ8_GRDY_54
AEZ8,62,2,7404.806887415779,GRDY,AEZ8_GRDY_62
AEZ8,67,3,12324.185109105265,GRDY,AEZ8_GRDY_67
AEZ8,70,3,6647.403995840742,GRDY,AEZ8_GRDY_70
AEZ8,74,4,7387.184720876668,GRDY,AEZ8_GRDY_74
AEZ4,4,23,12355.517620452376,GRDY,AEZ4_GRDY_4
AEZ4,5,29,11038.149496732267,GRDY,AEZ4_GRDY_5
AEZ4,6,33,12140.656083535832,GRDY,AEZ4_GRDY_6
AEZ4,7,6,4675.043596925805,GRDY,AEZ4_GRDY_7
AEZ4,31,3,1378.9677960247864,GRDY,AEZ4_GRDY_31
AEZ4,32,3,265.0191214678597,GRDY,AEZ4_GRDY_32
AEZ4,33,9,8686.585780783182,GRDY,AEZ4_GRDY_33
AEZ4,34,3,852.4037626084861,GRDY,AEZ4_GRDY_34
AEZ4,37,2,633.2332956524615,GRDY,AEZ4_GRDY_37
AEZ3,9,31,8908.91241584024,GRDY,AEZ3_GRDY_9
AEZ3,15,36,12370.341877166202,GRDY,AEZ3_GRDY_15
AEZ3,16,28,12413.680299553836,GRDY,AEZ3_GRDY_16
AEZ3,17,16,5814.849401375998,GRDY,AEZ3_GRDY_17
AEZ3,18,12,11801.708263882567,GRDY,AEZ3_GRDY_18
AEZ3,19,43,11525.101929955354,GRDY,AEZ3_GRDY_19
AEZ3,20,12,10315.417348183944,GRDY,AEZ3_GRDY_20
AEZ3,21,5,10709.804959229972,GRDY,AEZ3_GRDY_21
AEZ3,23,12,11150.312529713077,GRDY,AEZ3_GRDY_23
AEZ3,24,8,11806.643248692719,GRDY,AEZ3_GRDY_24
AEZ3,27,3,3544.539009978332,GRDY,AEZ3_GRDY_27
AEZ3,35,120,12429.464125235929,GRDY,AEZ3_GRDY_35
AEZ3,36,31,11362.067972706835,GRDY,AEZ3_GRDY_36
AEZ3,38,6,4395.2911180250685,GRDY,AEZ3_GRDY_38
AEZ3,40,8,7233.119585995384,GRDY,AEZ3_GRDY_40
AEZ3,41,2,710.3099145313065,GRDY,AEZ3_GRDY_41
AEZ3,42,1,0,GRDY,AEZ3_GRDY_42
AEZ3,45,3,164.56917485940997,GRDY,AEZ3_GRDY_45
AEZ3,46,1,0,GRDY,AEZ3_GRDY_46
AEZ3,48,1,0,GRDY,AEZ3_GRDY_48
AEZ3,49,2,10647.188481934143,GRDY,AEZ3_GRDY_49
AEZ3,50,3,265.24777586848,GRDY,AEZ3_GRDY_50
AEZ15,3,5,11760.182917586531,GRDY,AEZ15_GRDY_3
AEZ15,4,2,200.04815895999866,GRDY,AEZ15_GRDY_4
AEZ15,5,6,5462.778259449382,GRDY,AEZ15_GRDY_5
AEZ15,6,3,10959.645174354939,GRDY,AEZ15_GRDY_6
AEZ15,7,7,11359.672384183825,GRDY,AEZ15_GRDY_7
AEZ15,8,3,8860.928074056324,GRDY,AEZ15_GRDY_8
AEZ15,9,3,11042.853472073944,GRDY,AEZ15_GRDY_9
AEZ15,10,2,54.425667662107244,GRDY,AEZ15_GRDY_10
AEZ15,11,2,183.32393247727305,GRDY,AEZ15_GRDY_11
AEZ15,12,4,1338.0171321855025,GRDY,AEZ15_GRDY_12
AEZ15,13,1,0,GRDY,AEZ15_GRDY_13
AEZ15,19,49,9918.259802992308,GRDY,AEZ15_GRDY_19
AEZ15,20,15,4050.1632926759576,GRDY,AEZ15_GRDY_20
AEZ15,21,15,10599.741265085444,GRDY,AEZ15_GRDY_21
AEZ15,22,5,3206.7674273142215,GRDY,AEZ15_GRDY_22
AEZ15,23,10,3388.1323612799924,GRDY,AEZ15_GRDY_23
AEZ15,24,5,1224.8525320930048,GRDY,AEZ15_GRDY_24
AEZ15,40,2,11714.056192004273,GRDY,AEZ15_GRDY_40
AEZ15,57,2,12348.051904345668,GRDY,AEZ15_GRDY_57
AEZ5,4,14,12429.563987226667,GRDY,AEZ5_GRDY_4
AEZ5,11,4,2401.485497199141,GRDY,AEZ5_GRDY_11
AEZ5,12,10,11072.729858679766,GRDY,AEZ5_GRDY_12
AEZ5,22,4,1881.8306901964063,GRDY,AEZ5_GRDY_22
AEZ5,89,18,12497.45488942432,GRDY,AEZ5_GRDY_89
AEZ9,2,3,9069.093617360137,GRDY,AEZ9_GRDY_2
AEZ9,7,2,10940.740262563091,GRDY,AEZ9_GRDY_7
AEZ9,8,3,11432.586602235633,GRDY,AEZ9_GRDY_8
AEZ9,13,12,11921.701346161908,GRDY,AEZ9_GRDY_13
AEZ9,27,1,0,GRDY,AEZ9_GRDY_27
AEZ9,60,68,9658.167320321887,GRDY,AEZ9_GRDY_60
AEZ9,63,4,3248.298456123121,GRDY,AEZ9_GRDY_63
AEZ9,80,4,12347.593079675695,GRDY,AEZ9_GRDY_80
AEZ9,86,4,7989.382544590293,GRDY,AEZ9_GRDY_86
AEZ9,88,5,7376.379908518714,GRDY,AEZ9_GRDY_88
AEZ9,90,2,608.5484977472142,GRDY,AEZ9_GRDY_90
AEZ9,105,60,12050.030795235809,GRDY,AEZ9_GRDY_105
AEZ9,106,179,12447.828120900907,GRDY,AEZ9_GRDY_106
AEZ9,116,34,12184.158759273269,GRDY,AEZ9_GRDY_116
AEZ9,124,8,11444.561099788292,GRDY,AEZ9_GRDY_124
AEZ9,128,3,11561.580795592896,GRDY,AEZ9_GRDY_128
AEZ9,149,11,334.09342252957106,GRDY,AEZ9_GRDY_149
AEZ12,1,51,11607.946736168138,GRDY,AEZ12_GRDY_1
AEZ12,2,3,11509.530599270112,GRDY,AEZ12_GRDY_2
AEZ12,3,7,4667.175745008257,GRDY,AEZ12_GRDY_3
AEZ12,4,5,9793.935553574851,GRDY,AEZ12_GRDY_4
AEZ12,8,17,2804.066346272272,GRDY,AEZ12_GRDY_8
AEZ12,9,34,6887.054213742127,GRDY,AEZ12_GRDY_9
AEZ12,10,13,6332.171957434615,GRDY,AEZ12_GRDY_10
AEZ12,17,2,2840.6550810880494,GRDY,AEZ12_GRDY_17
AEZ12,20,1,0,GRDY,AEZ12_GRDY_20
AEZ12,21,8,9171.023259078109,GRDY,AEZ12_GRDY_21
AEZ12,22,9,9324.258164057428,GRDY,AEZ12_GRDY_22
AEZ12,23,10,1816.4199968297842,GRDY,AEZ12_GRDY_23
AEZ12,24,7,4999.7925964131455,GRDY,AEZ12_GRDY_24
AEZ12,25,2,5888.657810066069,GRDY,AEZ12_GRDY_25
AEZ12,26,3,707.8376762832895,GRDY,AEZ12_GRDY_26
AEZ12,27,2,837.9283917290674,GRDY,AEZ12_GRDY_27
AEZ12,28,2,700.7128420517735,GRDY,AEZ12_GRDY_28
AEZ12,29,4,9433.782521820296,GRDY,AEZ12_GRDY_29
AEZ12,32,28,11747.814368348769,GRDY,AEZ12_GRDY_32
AEZ12,36,22,1630.9142458843369,GRDY,AEZ12_GRDY_36
AEZ12,44,2,9388.192012030115,GRDY,AEZ12_GRDY_44
AEZ12,45,1,0,GRDY,AEZ12_GRDY_45
AEZ12,61,3,5814.24865897754,GRDY,AEZ12_GRDY_61
AEZ12,71,59,1523.3802304759643,GRDY,AEZ12_GRDY_71
AEZ12,73,10,1284.0163383977117,GRDY,AEZ12_GRDY_73
AEZ12,78,46,12454.90579324754,GRDY,AEZ12_GRDY_78
AEZ12,94,9,1684.1209000234205,GRDY,AEZ12_GRDY_94
AEZ12,99,9,11322.339271690344,GRDY,AEZ12_GRDY_99
AEZ12,104,7,10748.704586631333,GRDY,AEZ12_GRDY_104
AEZ12,110,8,11950.95390077847,GRDY,AEZ12_GRDY_110
AEZ12,113,130,4381.93934397451,GRDY,AEZ12_GRDY_113
AEZ12,119,1,0,GRDY,AEZ12_GRDY_119
AEZ12,120,2,3255.6008275336376,GRDY,AEZ12_GRDY_120
AEZ12,121,46,10000.981655163077,GRDY,AEZ12_GRDY_121
AEZ12,124,4,4267.70682049957,GRDY,AEZ12_GRDY_124
AEZ12,132,7,9180.369357078522,GRDY,AEZ12_GRDY_132
AEZ12,136,2,5017.028859233232,GRDY,AEZ12_GRDY_136
AEZ12,155,1,0,GRDY,AEZ12_GRDY_155
AEZ12,157,87,7191.035747450726,GRDY,AEZ12_GRDY_157
AEZ12,163,3,9289.48268719634,GRDY,AEZ12_GRDY_163
AEZ12,167,3,3080.1510989649155,GRDY,AEZ12_GRDY_167
