AEZ,cluster_within_aez,n_sites,max_dist_to_medoid,method,cluster_id
AEZ2,2,16,2328.2442106189683,GRDY,AEZ2_GRDY_2
AEZ14,5,19,7117.131716330265,GRDY,AEZ14_GRDY_5
AEZ7,1,24,8541.173625501799,GRDY,AEZ7_GRDY_1
AEZ7,9,34,15434.59587300561,GRDY,AEZ7_GRDY_9
AEZ7,12,2,10122.891712505405,GRDY,AEZ7_GRDY_12
AEZ7,20,4,19158.760894177205,GRDY,AEZ7_GRDY_20
AEZ7,21,6,20146.17189186282,GRDY,AEZ7_GRDY_21
AEZ7,22,2,1237.5331032124363,GRDY,AEZ7_GRDY_22
AEZ7,34,3,16922.698758531653,GRDY,AEZ7_GRDY_34
AEZ16,3,3,19559.239157263324,GRDY,AEZ16_GRDY_3
AEZ16,5,89,23747.006826362867,GRDY,AEZ16_GRDY_5
AEZ16,6,42,9961.851732875264,GRDY,AEZ16_GRDY_6
AEZ16,7,25,24158.124472750715,GRDY,AEZ16_GRDY_7
AEZ8,2,36,11795.151574841439,GRDY,AEZ8_GRDY_2
AEZ8,11,30,8806.621605085886,GRDY,AEZ8_GRDY_11
AEZ8,12,7,7325.7585407329625,GRDY,AEZ8_GRDY_12
AEZ8,25,5,20176.546123173168,GRDY,AEZ8_GRDY_25
AEZ8,26,3,4186.302456672221,GRDY,AEZ8_GRDY_26
AEZ8,27,2,21884.377751635526,GRDY,AEZ8_GRDY_27
AEZ8,28,2,21352.690509298838,GRDY,AEZ8_GRDY_28
AEZ8,29,4,24235.26844742643,GRDY,AEZ8_GRDY_29
AEZ8,34,19,21325.23150508077,GRDY,AEZ8_GRDY_34
AEZ8,35,5,21797.541707845714,GRDY,AEZ8_GRDY_35
AEZ8,36,2,21777.910945028318,GRDY,AEZ8_GRDY_36
AEZ8,37,4,11271.20613734747,GRDY,AEZ8_GRDY_37
AEZ8,40,2,8385.899451976027,GRDY,AEZ8_GRDY_40
AEZ8,46,2,13537.870655713075,GRDY,AEZ8_GRDY_46
AEZ8,47,4,24958.446283513636,GRDY,AEZ8_GRDY_47
AEZ8,49,2,17916.033797824304,GRDY,AEZ8_GRDY_49
AEZ8,51,4,17089.10332556816,GRDY,AEZ8_GRDY_51
